from,to,count
PARCELLES ASSAINIES,PARCELLES ASSAINIES,10916
PARCELLES ASSAINIES,ALMADIES,179
PARCELLES ASSAINIES,GRAND DAKAR,225
PARCELLES ASSAINIES,DAKAR PLATEAU,283
PARCELLES ASSAINIES,GUEDIAWAYE,118
PARCELLES ASSAINIES,PIKINE DAGOUDANE,40
PARCELLES ASSAINIES,THIAROYE,46
PARCELLES ASSAINIES,NIAYES,50
PARCELLES ASSAINIES,RUFISQUE,10
PARCELLES ASSAINIES,BAMBILOR,17
PARCELLES ASSAINIES,KEUR MOUSSA,6
PARCELLES ASSAINIES,SINDIA,37
PARCELLES ASSAINIES,NOTTO,2
PARCELLES ASSAINIES,THIENABA,3
PARCELLES ASSAINIES,PAMBAL,10
PARCELLES ASSAINIES,MEOUANE,12
PARCELLES ASSAINIES,MERINA DAKHAR,1
PARCELLES ASSAINIES,NIAKHENE,1
PARCELLES ASSAINIES,THIES SUD,20
PARCELLES ASSAINIES,THIES NORD,6
PARCELLES ASSAINIES,FISSEL,0
PARCELLES ASSAINIES,SESSENE,8
PARCELLES ASSAINIES,TAIF,0
PARCELLES ASSAINIES,KAEL,0
PARCELLES ASSAINIES,NDAME,21
PARCELLES ASSAINIES,NDOULO,6
PARCELLES ASSAINIES,NDINDY,0
PARCELLES ASSAINIES,NGOYE,0
PARCELLES ASSAINIES,LAMBAYE,1
PARCELLES ASSAINIES,BABA GARAGE,1
PARCELLES ASSAINIES,COLOBANE,1
PARCELLES ASSAINIES,NIAKHAR,4
PARCELLES ASSAINIES,TATTAGUINE,9
PARCELLES ASSAINIES,OUADIOUR,1
PARCELLES ASSAINIES,NDIOB,5
PARCELLES ASSAINIES,FIMELA,2
PARCELLES ASSAINIES,NIODIOR,0
PARCELLES ASSAINIES,TOUBACOUTA,0
PARCELLES ASSAINIES,DJILOR,8
PARCELLES ASSAINIES,SAKAL,2
PARCELLES ASSAINIES,MEUR MOMAR SARR,2
PARCELLES ASSAINIES,MBEDIENE,12
PARCELLES ASSAINIES,COKI,0
PARCELLES ASSAINIES,SAGATTA GUETH I,1
PARCELLES ASSAINIES,SAGATTA GUETH II,0
PARCELLES ASSAINIES,DAROU MOUSTY,4
PARCELLES ASSAINIES,SAGATTA DJOLOF,4
PARCELLES ASSAINIES,YANG YANG,1
PARCELLES ASSAINIES,DODJI,3
PARCELLES ASSAINIES,BARKEDJI,25
PARCELLES ASSAINIES,MBADAKHOUNE,0
PARCELLES ASSAINIES,NGUELOU,2
PARCELLES ASSAINIES,NGOTHIE,5
PARCELLES ASSAINIES,KOUMBAL,28
PARCELLES ASSAINIES,NDIEDIENG,2
PARCELLES ASSAINIES,PAOS KOTO,7
PARCELLES ASSAINIES,WACK NGOUNA,0
PARCELLES ASSAINIES,MEDINA SABAKH,1
PARCELLES ASSAINIES,GNIBY,1
PARCELLES ASSAINIES,DAROU MINAME II,0
PARCELLES ASSAINIES,KATAKELKEUR MBOUCKI,0
PARCELLES ASSAINIES,KEUR MBOUCKI,1
PARCELLES ASSAINIES,SAGNA,1
PARCELLES ASSAINIES,IDA MOURIDE,1
PARCELLES ASSAINIES,MISSIRAH WADENE,0
PARCELLES ASSAINIES,LOUR ESCALE,0
PARCELLES ASSAINIES,MABO,0
PARCELLES ASSAINIES,MBANE,3
PARCELLES ASSAINIES,SALDE,4
PARCELLES ASSAINIES,NDIAYE MBERESS,7
PARCELLES ASSAINIES,GAMADJI SARRE,10
PARCELLES ASSAINIES,CAS CAS,6
PARCELLES ASSAINIES,RAO,28
PARCELLES ASSAINIES,THILE BOUBACAR,3
PARCELLES ASSAINIES,FAFACOUROU,0
PARCELLES ASSAINIES,MAMPATIM,0
PARCELLES ASSAINIES,NDORNA,0
PARCELLES ASSAINIES,BONCONTO,0
PARCELLES ASSAINIES,NIAMING,1
PARCELLES ASSAINIES,DIOULACOLON,0
PARCELLES ASSAINIES,SARE COLY SALE,2
PARCELLES ASSAINIES,PAKOUR,0
PARCELLES ASSAINIES,SARE BIDJI,5
PARCELLES ASSAINIES,DJIBANAR,5
PARCELLES ASSAINIES,DJIREDJI,0
PARCELLES ASSAINIES,DIAROUME,1
PARCELLES ASSAINIES,BONA,3
PARCELLES ASSAINIES,KARANTABA,0
PARCELLES ASSAINIES,DIENDE,5
PARCELLES ASSAINIES,BOGHAL,1
PARCELLES ASSAINIES,SIMBANDI BRASSOU,1
PARCELLES ASSAINIES,DJIBABOUYA,3
PARCELLES ASSAINIES,CABROUSSE,2
PARCELLES ASSAINIES,LOUDIA OUOLOF,7
PARCELLES ASSAINIES,SINDIAN,2
PARCELLES ASSAINIES,TENGHORY,14
PARCELLES ASSAINIES,KATABA I,4
PARCELLES ASSAINIES,TENDOUCK,8
PARCELLES ASSAINIES,NYASSIA,1
PARCELLES ASSAINIES,NIAGUIS,27
PARCELLES ASSAINIES,BANDAFASSI,6
PARCELLES ASSAINIES,BEMBOU,0
PARCELLES ASSAINIES,DAKATELY,0
PARCELLES ASSAINIES,DAR SALAM,0
PARCELLES ASSAINIES,FONGOLIMBI,0
PARCELLES ASSAINIES,SABODALA,1
PARCELLES ASSAINIES,KOUSSANAR,10
PARCELLES ASSAINIES,MISSIRAH,1
PARCELLES ASSAINIES,MAKACOULIBANTANG,0
PARCELLES ASSAINIES,KOUTHIABA OUOLOF,0
