from,to,count
PARCELLES ASSAINIES,ALMADIES,139
PARCELLES ASSAINIES,GRAND DAKAR,182
PARCELLES ASSAINIES,DAKAR PLATEAU,153
PARCELLES ASSAINIES,GUEDIAWAYE,103
PARCELLES ASSAINIES,PIKINE DAGOUDANE,35
PARCELLES ASSAINIES,THIAROYE,48
PARCELLES ASSAINIES,NIAYES,65
PARCELLES ASSAINIES,RUFISQUE,22
PARCELLES ASSAINIES,BAMBILOR,33
PARCELLES ASSAINIES,SINDIA,39
PARCELLES ASSAINIES,PAMBAL,20
PARCELLES ASSAINIES,THIES SUD,29
PARCELLES ASSAINIES,THIES NORD,15
PARCELLES ASSAINIES,SESSENE,21
PARCELLES ASSAINIES,NDAME,38
PARCELLES ASSAINIES,NDOULO,15
PARCELLES ASSAINIES,NGOYE,13
PARCELLES ASSAINIES,TATTAGUINE,10
PARCELLES ASSAINIES,MBEDIENE,22
PARCELLES ASSAINIES,SAGATTA GUETH I,12
PARCELLES ASSAINIES,KOUMBAL,45
PARCELLES ASSAINIES,NDIAYE MBERESS,12
PARCELLES ASSAINIES,RAO,30
PARCELLES ASSAINIES,TENGHORY,10
PARCELLES ASSAINIES,NIAGUIS,41
PARCELLES ASSAINIES,KOUSSANAR,11
PARCELLES ASSAINIES,MOUDERY,13
PARCELLES ASSAINIES,ORKADIERE,15
ALMADIES,PARCELLES ASSAINIES,178
ALMADIES,GRAND DAKAR,183
ALMADIES,DAKAR PLATEAU,125
ALMADIES,GUEDIAWAYE,55
ALMADIES,PIKINE DAGOUDANE,42
ALMADIES,THIAROYE,47
ALMADIES,NIAYES,59
ALMADIES,RUFISQUE,23
ALMADIES,BAMBILOR,30
ALMADIES,SINDIA,37
ALMADIES,PAMBAL,12
ALMADIES,THIES SUD,25
ALMADIES,THIES NORD,17
ALMADIES,NDAME,24
ALMADIES,KOUMBAL,21
ALMADIES,RAO,23
ALMADIES,NIAGUIS,12
GRAND DAKAR,PARCELLES ASSAINIES,220
GRAND DAKAR,ALMADIES,148
GRAND DAKAR,DAKAR PLATEAU,237
GRAND DAKAR,GUEDIAWAYE,108
GRAND DAKAR,PIKINE DAGOUDANE,117
GRAND DAKAR,THIAROYE,87
GRAND DAKAR,NIAYES,94
GRAND DAKAR,RUFISQUE,36
GRAND DAKAR,BAMBILOR,35
GRAND DAKAR,SINDIA,47
GRAND DAKAR,THIENABA,11
GRAND DAKAR,PAMBAL,31
GRAND DAKAR,THIES SUD,36
GRAND DAKAR,THIES NORD,11
GRAND DAKAR,SESSENE,10
GRAND DAKAR,NDAME,29
GRAND DAKAR,NDOULO,19
GRAND DAKAR,TATTAGUINE,10
GRAND DAKAR,MBEDIENE,15
GRAND DAKAR,SAGATTA GUETH I,10
GRAND DAKAR,KOUMBAL,38
GRAND DAKAR,NDIAYE MBERESS,11
GRAND DAKAR,RAO,26
GRAND DAKAR,NIAGUIS,13
GRAND DAKAR,KOUSSANAR,12
GRAND DAKAR,OGO,10
DAKAR PLATEAU,PARCELLES ASSAINIES,307
DAKAR PLATEAU,ALMADIES,245
DAKAR PLATEAU,GRAND DAKAR,363
DAKAR PLATEAU,GUEDIAWAYE,189
DAKAR PLATEAU,PIKINE DAGOUDANE,127
DAKAR PLATEAU,THIAROYE,168
DAKAR PLATEAU,NIAYES,169
DAKAR PLATEAU,RUFISQUE,56
DAKAR PLATEAU,BAMBILOR,90
DAKAR PLATEAU,KEUR MOUSSA,14
DAKAR PLATEAU,SINDIA,76
DAKAR PLATEAU,THIENABA,30
DAKAR PLATEAU,PAMBAL,29
DAKAR PLATEAU,THIES SUD,68
DAKAR PLATEAU,THIES NORD,22
DAKAR PLATEAU,SESSENE,21
DAKAR PLATEAU,NDAME,41
DAKAR PLATEAU,NDOULO,25
DAKAR PLATEAU,NGOYE,16
DAKAR PLATEAU,TATTAGUINE,11
DAKAR PLATEAU,FIMELA,15
DAKAR PLATEAU,TOUBACOUTA,10
DAKAR PLATEAU,MBEDIENE,17
DAKAR PLATEAU,KOUMBAL,52
DAKAR PLATEAU,NDIAYE MBERESS,23
DAKAR PLATEAU,GAMADJI SARRE,11
DAKAR PLATEAU,RAO,35
DAKAR PLATEAU,NIAGUIS,17
DAKAR PLATEAU,KOUSSANAR,21
DAKAR PLATEAU,MOUDERY,19
DAKAR PLATEAU,OGO,12
DAKAR PLATEAU,ORKADIERE,12
GUEDIAWAYE,PARCELLES ASSAINIES,123
GUEDIAWAYE,ALMADIES,20
GUEDIAWAYE,GRAND DAKAR,55
GUEDIAWAYE,DAKAR PLATEAU,70
GUEDIAWAYE,PIKINE DAGOUDANE,86
GUEDIAWAYE,THIAROYE,29
GUEDIAWAYE,NIAYES,67
GUEDIAWAYE,BAMBILOR,16
GUEDIAWAYE,SINDIA,16
GUEDIAWAYE,PAMBAL,12
GUEDIAWAYE,THIES SUD,10
GUEDIAWAYE,NDAME,22
GUEDIAWAYE,NDOULO,10
GUEDIAWAYE,KOUMBAL,16
GUEDIAWAYE,RAO,11
GUEDIAWAYE,NIAGUIS,10
GUEDIAWAYE,KOUSSANAR,11
GUEDIAWAYE,OGO,15
GUEDIAWAYE,AGNAM CIVOL,16
GUEDIAWAYE,ORKADIERE,11
PIKINE DAGOUDANE,PARCELLES ASSAINIES,31
PIKINE DAGOUDANE,ALMADIES,17
PIKINE DAGOUDANE,GRAND DAKAR,96
PIKINE DAGOUDANE,DAKAR PLATEAU,75
PIKINE DAGOUDANE,GUEDIAWAYE,97
PIKINE DAGOUDANE,THIAROYE,98
PIKINE DAGOUDANE,NIAYES,76
PIKINE DAGOUDANE,RUFISQUE,12
PIKINE DAGOUDANE,BAMBILOR,24
PIKINE DAGOUDANE,SINDIA,18
PIKINE DAGOUDANE,PAMBAL,11
PIKINE DAGOUDANE,NDAME,27
PIKINE DAGOUDANE,NGOYE,10
PIKINE DAGOUDANE,KOUMBAL,13
PIKINE DAGOUDANE,RAO,11
PIKINE DAGOUDANE,OGO,14
THIAROYE,PARCELLES ASSAINIES,53
THIAROYE,ALMADIES,30
THIAROYE,GRAND DAKAR,45
THIAROYE,DAKAR PLATEAU,61
THIAROYE,GUEDIAWAYE,26
THIAROYE,PIKINE DAGOUDANE,108
THIAROYE,NIAYES,98
THIAROYE,RUFISQUE,38
THIAROYE,BAMBILOR,21
THIAROYE,SINDIA,25
THIAROYE,PAMBAL,13
THIAROYE,MEOUANE,13
THIAROYE,THIES SUD,19
THIAROYE,SESSENE,17
THIAROYE,NDAME,15
THIAROYE,KOUMBAL,21
THIAROYE,RAO,18
NIAYES,PARCELLES ASSAINIES,37
NIAYES,ALMADIES,27
NIAYES,GRAND DAKAR,42
NIAYES,DAKAR PLATEAU,80
NIAYES,GUEDIAWAYE,59
NIAYES,PIKINE DAGOUDANE,66
NIAYES,THIAROYE,66
NIAYES,BAMBILOR,82
NIAYES,SINDIA,19
NIAYES,PAMBAL,11
NIAYES,NDAME,12
NIAYES,RAO,14
NIAYES,NIAGUIS,14
RUFISQUE,PARCELLES ASSAINIES,14
RUFISQUE,GRAND DAKAR,10
RUFISQUE,DAKAR PLATEAU,27
RUFISQUE,THIAROYE,31
RUFISQUE,NIAYES,18
RUFISQUE,BAMBILOR,41
BAMBILOR,PARCELLES ASSAINIES,22
BAMBILOR,ALMADIES,16
BAMBILOR,GRAND DAKAR,26
BAMBILOR,DAKAR PLATEAU,22
BAMBILOR,GUEDIAWAYE,11
BAMBILOR,PIKINE DAGOUDANE,18
BAMBILOR,THIAROYE,21
BAMBILOR,NIAYES,31
BAMBILOR,RUFISQUE,22
BAMBILOR,KEUR MOUSSA,10
BAMBILOR,SINDIA,17
BAMBILOR,THIES SUD,10
SINDIA,PARCELLES ASSAINIES,25
SINDIA,ALMADIES,16
SINDIA,GRAND DAKAR,25
SINDIA,DAKAR PLATEAU,19
SINDIA,GUEDIAWAYE,13
SINDIA,PIKINE DAGOUDANE,13
SINDIA,THIAROYE,19
SINDIA,NIAYES,13
SINDIA,BAMBILOR,21
SINDIA,THIES SUD,20
SINDIA,THIES NORD,11
SINDIA,SESSENE,24
SINDIA,NDAME,14
SINDIA,KOUMBAL,17
THIENABA,DAKAR PLATEAU,11
THIENABA,THIES SUD,21
PAMBAL,PARCELLES ASSAINIES,17
PAMBAL,GRAND DAKAR,10
PAMBAL,KEUR MOUSSA,12
PAMBAL,MEOUANE,26
PAMBAL,THIES SUD,17
PAMBAL,NDAME,14
MEOUANE,PAMBAL,15
THIES SUD,PARCELLES ASSAINIES,23
THIES SUD,ALMADIES,16
THIES SUD,GRAND DAKAR,22
THIES SUD,DAKAR PLATEAU,22
THIES SUD,PIKINE DAGOUDANE,10
THIES SUD,THIAROYE,12
THIES SUD,SINDIA,24
THIES SUD,NOTTO,25
THIES SUD,THIENABA,18
THIES SUD,PAMBAL,11
THIES SUD,THIES NORD,78
THIES SUD,NDAME,11
THIES NORD,PAMBAL,13
THIES NORD,THIES SUD,92
SESSENE,BAMBILOR,13
SESSENE,SINDIA,43
NDAME,PARCELLES ASSAINIES,27
NDAME,ALMADIES,14
NDAME,DAKAR PLATEAU,10
NDAME,GUEDIAWAYE,12
NDAME,PIKINE DAGOUDANE,19
NDAME,THIAROYE,11
NDAME,NIAYES,15
NDAME,RUFISQUE,10
NDAME,SINDIA,26
NDAME,PAMBAL,21
NDAME,MEOUANE,14
NDAME,THIES SUD,12
NDAME,NDOULO,16
NDAME,DAROU MOUSTY,10
NDAME,KOUMBAL,10
NDOULO,PARCELLES ASSAINIES,11
NDOULO,MERINA DAKHAR,14
NDOULO,NDAME,18
NGOYE,NDOULO,13
NIAKHAR,GRAND DAKAR,13
TATTAGUINE,PARCELLES ASSAINIES,19
NIODIOR,SESSENE,11
NIODIOR,FIMELA,10
TOUBACOUTA,KOUMBAL,10
DAROU MOUSTY,NDAME,14
SAGATTA DJOLOF,NDAME,11
SAGATTA DJOLOF,MEUR MOMAR SARR,14
SAGATTA DJOLOF,YANG YANG,17
YANG YANG,MEUR MOMAR SARR,17
YANG YANG,SAGATTA DJOLOF,11
YANG YANG,MBANE,16
YANG YANG,THILE BOUBACAR,21
DODJI,YANG YANG,10
DODJI,GAMADJI SARRE,17
BARKEDJI,SAGATTA DJOLOF,12
BARKEDJI,YANG YANG,14
KOUMBAL,PARCELLES ASSAINIES,31
KOUMBAL,ALMADIES,12
KOUMBAL,DAKAR PLATEAU,23
KOUMBAL,GUEDIAWAYE,12
KOUMBAL,PIKINE DAGOUDANE,15
KOUMBAL,NIAYES,12
KOUMBAL,SINDIA,16
KOUMBAL,NDAME,20
KOUMBAL,NDOULO,11
KOUMBAL,NGOTHIE,10
KOUMBAL,PAOS KOTO,11
PAOS KOTO,PARCELLES ASSAINIES,14
PAOS KOTO,KOUMBAL,12
MABO,KEUR MBOUCKI,11
MBANE,NDIAYE MBERESS,15
NDIAYE MBERESS,MBANE,43
NDIAYE MBERESS,RAO,30
GAMADJI SARRE,NDIAYE MBERESS,10
GAMADJI SARRE,CAS CAS,15
RAO,PARCELLES ASSAINIES,29
RAO,ALMADIES,29
RAO,GRAND DAKAR,34
RAO,DAKAR PLATEAU,16
RAO,GUEDIAWAYE,27
RAO,PIKINE DAGOUDANE,11
RAO,THIAROYE,24
RAO,NIAYES,21
RAO,RUFISQUE,10
RAO,BAMBILOR,16
RAO,SINDIA,28
RAO,PAMBAL,13
RAO,THIES SUD,29
RAO,MBEDIENE,18
RAO,NDIAYE MBERESS,37
DIOULACOLON,SARE BIDJI,11
SARE COLY SALE,BANDAFASSI,11
SARE BIDJI,MAMPATIM,11
SARE BIDJI,DIOULACOLON,10
SARE BIDJI,NIAGUIS,10
DJIBANAR,DIENDE,12
DJIBANAR,SIMBANDI BRASSOU,11
DJIBANAR,NIAGUIS,22
DIAROUME,BONA,35
CABROUSSE,NIAGUIS,14
LOUDIA OUOLOF,NIAGUIS,12
SINDIAN,TENGHORY,15
TENGHORY,PARCELLES ASSAINIES,18
TENGHORY,NIAYES,19
TENGHORY,NIAGUIS,19
KATABA I,TENGHORY,12
KATABA I,NIAGUIS,13
TENDOUCK,TENGHORY,12
NIAGUIS,PARCELLES ASSAINIES,37
NIAGUIS,ALMADIES,18
NIAGUIS,GRAND DAKAR,25
NIAGUIS,DAKAR PLATEAU,14
NIAGUIS,GUEDIAWAYE,20
NIAGUIS,PIKINE DAGOUDANE,14
NIAGUIS,THIAROYE,19
NIAGUIS,NIAYES,18
NIAGUIS,SINDIA,13
NIAGUIS,DJIBANAR,20
NIAGUIS,CABROUSSE,11
NIAGUIS,LOUDIA OUOLOF,18
NIAGUIS,TENGHORY,46
NIAGUIS,KATABA I,10
NIAGUIS,TENDOUCK,17
NIAGUIS,NYASSIA,12
BANDAFASSI,KOUSSANAR,18
SABODALA,BANDAFASSI,12
KOUSSANAR,GUEDIAWAYE,10
KOUSSANAR,MISSIRAH,16
KOUTHIABA OUOLOF,BARKEDJI,12
KOUTHIABA OUOLOF,VELINGARA,11
BAMBA NDIAYENE,KOUTHIABA OUOLOF,11
MOUDERY,ORKADIERE,10
OGO,PIKINE DAGOUDANE,10
OGO,AGNAM CIVOL,13
OGO,ORKADIERE,16
VELINGARA,DODJI,11
VELINGARA,AGNAM CIVOL,13
ORKADIERE,OGO,19
OURO SIDY,OGO,10
