from,to,count
PARCELLES ASSAINIES,ALMADIES,169
PARCELLES ASSAINIES,GRAND DAKAR,220
PARCELLES ASSAINIES,DAKAR PLATEAU,215
PARCELLES ASSAINIES,GUEDIAWAYE,140
PARCELLES ASSAINIES,PIKINE DAGOUDANE,27
PARCELLES ASSAINIES,THIAROYE,40
PARCELLES ASSAINIES,NIAYES,49
PARCELLES ASSAINIES,RUFISQUE,10
PARCELLES ASSAINIES,BAMBILOR,21
PARCELLES ASSAINIES,SINDIA,24
PARCELLES ASSAINIES,NDAME,25
PARCELLES ASSAINIES,KOUMBAL,12
PARCELLES ASSAINIES,PAOS KOTO,11
PARCELLES ASSAINIES,RAO,15
PARCELLES ASSAINIES,TENGHORY,14
PARCELLES ASSAINIES,NIAGUIS,30
PARCELLES ASSAINIES,OGO,10
ALMADIES,PARCELLES ASSAINIES,136
ALMADIES,GRAND DAKAR,129
ALMADIES,DAKAR PLATEAU,157
ALMADIES,GUEDIAWAYE,26
ALMADIES,PIKINE DAGOUDANE,28
ALMADIES,THIAROYE,33
ALMADIES,NIAYES,28
ALMADIES,BAMBILOR,15
ALMADIES,SINDIA,14
ALMADIES,NIAGUIS,11
GRAND DAKAR,PARCELLES ASSAINIES,158
GRAND DAKAR,ALMADIES,217
GRAND DAKAR,DAKAR PLATEAU,275
GRAND DAKAR,GUEDIAWAYE,60
GRAND DAKAR,PIKINE DAGOUDANE,68
GRAND DAKAR,THIAROYE,59
GRAND DAKAR,NIAYES,46
GRAND DAKAR,RUFISQUE,14
GRAND DAKAR,BAMBILOR,24
GRAND DAKAR,SINDIA,24
GRAND DAKAR,NDAME,10
GRAND DAKAR,KOUMBAL,14
GRAND DAKAR,RAO,14
GRAND DAKAR,NIAGUIS,15
GRAND DAKAR,OGO,10
DAKAR PLATEAU,PARCELLES ASSAINIES,221
DAKAR PLATEAU,ALMADIES,195
DAKAR PLATEAU,GRAND DAKAR,269
DAKAR PLATEAU,GUEDIAWAYE,101
DAKAR PLATEAU,PIKINE DAGOUDANE,85
DAKAR PLATEAU,THIAROYE,74
DAKAR PLATEAU,NIAYES,96
DAKAR PLATEAU,RUFISQUE,30
DAKAR PLATEAU,BAMBILOR,35
DAKAR PLATEAU,SINDIA,21
DAKAR PLATEAU,THIES SUD,16
DAKAR PLATEAU,NDAME,15
DAKAR PLATEAU,KOUMBAL,13
DAKAR PLATEAU,RAO,14
GUEDIAWAYE,PARCELLES ASSAINIES,90
GUEDIAWAYE,ALMADIES,46
GUEDIAWAYE,GRAND DAKAR,63
GUEDIAWAYE,DAKAR PLATEAU,121
GUEDIAWAYE,PIKINE DAGOUDANE,78
GUEDIAWAYE,THIAROYE,26
GUEDIAWAYE,NIAYES,41
GUEDIAWAYE,SINDIA,12
GUEDIAWAYE,NDAME,15
GUEDIAWAYE,RAO,11
PIKINE DAGOUDANE,PARCELLES ASSAINIES,33
PIKINE DAGOUDANE,ALMADIES,34
PIKINE DAGOUDANE,GRAND DAKAR,88
PIKINE DAGOUDANE,DAKAR PLATEAU,88
PIKINE DAGOUDANE,GUEDIAWAYE,98
PIKINE DAGOUDANE,THIAROYE,88
PIKINE DAGOUDANE,NIAYES,53
PIKINE DAGOUDANE,BAMBILOR,13
PIKINE DAGOUDANE,SINDIA,13
PIKINE DAGOUDANE,PAMBAL,10
PIKINE DAGOUDANE,NDAME,17
PIKINE DAGOUDANE,KOUMBAL,11
THIAROYE,PARCELLES ASSAINIES,34
THIAROYE,ALMADIES,40
THIAROYE,GRAND DAKAR,60
THIAROYE,DAKAR PLATEAU,105
THIAROYE,GUEDIAWAYE,18
THIAROYE,PIKINE DAGOUDANE,100
THIAROYE,NIAYES,76
THIAROYE,RUFISQUE,34
THIAROYE,BAMBILOR,24
THIAROYE,SINDIA,22
THIAROYE,THIES SUD,12
THIAROYE,NDAME,12
THIAROYE,KOUMBAL,18
THIAROYE,NIAGUIS,16
NIAYES,PARCELLES ASSAINIES,45
NIAYES,ALMADIES,48
NIAYES,GRAND DAKAR,56
NIAYES,DAKAR PLATEAU,98
NIAYES,GUEDIAWAYE,45
NIAYES,PIKINE DAGOUDANE,48
NIAYES,THIAROYE,46
NIAYES,RUFISQUE,11
NIAYES,BAMBILOR,19
NIAYES,SINDIA,14
NIAYES,NDAME,11
RUFISQUE,PARCELLES ASSAINIES,13
RUFISQUE,ALMADIES,11
RUFISQUE,GRAND DAKAR,24
RUFISQUE,DAKAR PLATEAU,45
RUFISQUE,THIAROYE,35
RUFISQUE,BAMBILOR,25
RUFISQUE,SINDIA,10
BAMBILOR,PARCELLES ASSAINIES,26
BAMBILOR,ALMADIES,17
BAMBILOR,GRAND DAKAR,27
