from,to,count,
PARCELLES ASSAINIES,GRAND DAKAR,224,Yes
PARCELLES ASSAINIES,DAKAR PLATEAU,196,Yes
PARCELLES ASSAINIES,GUEDIAWAYE,120,Yes
PARCELLES ASSAINIES,PIKINE DAGOUDANE,34,Yes
PARCELLES ASSAINIES,THIAROYE,51,Yes
PARCELLES ASSAINIES,NIAYES,55,Yes
PARCELLES ASSAINIES,RUFISQUE,14,Yes
PARCELLES ASSAINIES,BAMBILOR,27,Yes
PARCELLES ASSAINIES,SINDIA,40,Yes
PARCELLES ASSAINIES,PAMBAL,21,Yes
PARCELLES ASSAINIES,THIES SUD,26,Yes
PARCELLES ASSAINIES,THIES NORD,13,Yes
PARCELLES ASSAINIES,NDAME,18,Yes
PARCELLES ASSAINIES,TATTAGUINE,13,Yes
PARCELLES ASSAINIES,MBEDIENE,11,Yes
PARCELLES ASSAINIES,KOUMBAL,39,Yes
PARCELLES ASSAINIES,NDIAYE MBERESS,18,Yes
PARCELLES ASSAINIES,RAO,23,Yes
PARCELLES ASSAINIES,BOGHAL,17,Yes
PARCELLES ASSAINIES,TENGHORY,27,Yes
PARCELLES ASSAINIES,NIAGUIS,48,Yes
PARCELLES ASSAINIES,KOUSSANAR,13,Yes
PARCELLES ASSAINIES,OGO,10,Yes
ALMADIES,PARCELLES ASSAINIES,145,Yes
ALMADIES,GRAND DAKAR,127,Yes
ALMADIES,DAKAR PLATEAU,184,Yes
ALMADIES,GUEDIAWAYE,32,Yes
ALMADIES,PIKINE DAGOUDANE,25,Yes
ALMADIES,THIAROYE,35,Yes
ALMADIES,NIAYES,27,Yes
ALMADIES,RUFISQUE,15,Yes
ALMADIES,BAMBILOR,22,Yes
ALMADIES,SINDIA,15,Yes
ALMADIES,THIES SUD,12,Yes
ALMADIES,TATTAGUINE,11,Yes
ALMADIES,KOUMBAL,11,Yes
ALMADIES,RAO,14,Yes
ALMADIES,TENGHORY,10,Yes
ALMADIES,NIAGUIS,20,Yes
GRAND DAKAR,PARCELLES ASSAINIES,209,Yes
GRAND DAKAR,ALMADIES,163,Yes
GRAND DAKAR,DAKAR PLATEAU,267,Yes
GRAND DAKAR,GUEDIAWAYE,58,Yes
GRAND DAKAR,PIKINE DAGOUDANE,72,Yes
GRAND DAKAR,THIAROYE,50,Yes
GRAND DAKAR,NIAYES,52,Yes
GRAND DAKAR,RUFISQUE,27,Yes
GRAND DAKAR,BAMBILOR,35,Yes
GRAND DAKAR,SINDIA,22,Yes
GRAND DAKAR,MEOUANE,16,Yes
GRAND DAKAR,THIES SUD,22,Yes
GRAND DAKAR,THIES NORD,11,Yes
GRAND DAKAR,NDAME,19,Yes
GRAND DAKAR,NDOULO,11,Yes
GRAND DAKAR,NGOYE,24,Yes
GRAND DAKAR,NIAKHAR,15,Yes
GRAND DAKAR,KOUMBAL,30,Yes
GRAND DAKAR,GAMADJI SARRE,10,Yes
GRAND DAKAR,RAO,26,Yes
GRAND DAKAR,SARE BIDJI,11,Yes
GRAND DAKAR,NIAGUIS,21,Yes
GRAND DAKAR,OGO,10,Yes
DAKAR PLATEAU,PARCELLES ASSAINIES,214,Yes
DAKAR PLATEAU,ALMADIES,189,Yes
DAKAR PLATEAU,GRAND DAKAR,296,Yes
DAKAR PLATEAU,GUEDIAWAYE,93,Yes
DAKAR PLATEAU,PIKINE DAGOUDANE,72,Yes
DAKAR PLATEAU,THIAROYE,70,Yes
DAKAR PLATEAU,NIAYES,120,Yes
DAKAR PLATEAU,RUFISQUE,24,Yes
DAKAR PLATEAU,BAMBILOR,33,Yes
DAKAR PLATEAU,SINDIA,30,Yes
