from,to,count
PARCELLES ASSAINIES,ALMADIES,145
PARCELLES ASSAINIES,GRAND DAKAR,186
PARCELLES ASSAINIES,DAKAR PLATEAU,201
PARCELLES ASSAINIES,GUEDIAWAYE,97
PARCELLES ASSAINIES,PIKINE DAGOUDANE,37
PARCELLES ASSAINIES,THIAROYE,53
PARCELLES ASSAINIES,NIAYES,60
PARCELLES ASSAINIES,RUFISQUE,21
PARCELLES ASSAINIES,BAMBILOR,27
PARCELLES ASSAINIES,SINDIA,32
PARCELLES ASSAINIES,THIENABA,18
PARCELLES ASSAINIES,PAMBAL,19
PARCELLES ASSAINIES,MEOUANE,18
PARCELLES ASSAINIES,THIES SUD,37
PARCELLES ASSAINIES,THIES NORD,13
PARCELLES ASSAINIES,SESSENE,15
PARCELLES ASSAINIES,NDAME,56
PARCELLES ASSAINIES,NDOULO,28
PARCELLES ASSAINIES,NGOYE,13
PARCELLES ASSAINIES,NIAKHAR,13
PARCELLES ASSAINIES,TATTAGUINE,25
PARCELLES ASSAINIES,NDIOB,15
PARCELLES ASSAINIES,FIMELA,13
PARCELLES ASSAINIES,TOUBACOUTA,19
PARCELLES ASSAINIES,DJILOR,13
PARCELLES ASSAINIES,MBEDIENE,19
PARCELLES ASSAINIES,SAGATTA GUETH I,12
PARCELLES ASSAINIES,NGOTHIE,17
PARCELLES ASSAINIES,KOUMBAL,65
PARCELLES ASSAINIES,PAOS KOTO,14
PARCELLES ASSAINIES,MEDINA SABAKH,10
PARCELLES ASSAINIES,GNIBY,11
PARCELLES ASSAINIES,MABO,11
PARCELLES ASSAINIES,MBANE,11
PARCELLES ASSAINIES,NDIAYE MBERESS,17
PARCELLES ASSAINIES,GAMADJI SARRE,18
PARCELLES ASSAINIES,RAO,52
PARCELLES ASSAINIES,SARE BIDJI,14
PARCELLES ASSAINIES,DJIBANAR,17
PARCELLES ASSAINIES,DIENDE,18
PARCELLES ASSAINIES,TENGHORY,38
PARCELLES ASSAINIES,NIAGUIS,80
PARCELLES ASSAINIES,KOUSSANAR,24
PARCELLES ASSAINIES,MOUDERY,19
PARCELLES ASSAINIES,OGO,19
PARCELLES ASSAINIES,AGNAM CIVOL,14
PARCELLES ASSAINIES,ORKADIERE,18
PARCELLES ASSAINIES,OURO SIDY,10
ALMADIES,PARCELLES ASSAINIES,161
ALMADIES,GRAND DAKAR,151
ALMADIES,DAKAR PLATEAU,154
ALMADIES,GUEDIAWAYE,54
ALMADIES,PIKINE DAGOUDANE,28
ALMADIES,THIAROYE,39
ALMADIES,NIAYES,41
ALMADIES,RUFISQUE,19
ALMADIES,BAMBILOR,27
ALMADIES,SINDIA,20
ALMADIES,PAMBAL,12
ALMADIES,THIES SUD,20
ALMADIES,THIES NORD,13
ALMADIES,NDAME,32
ALMADIES,NDOULO,14
ALMADIES,NIAKHAR,11
ALMADIES,TATTAGUINE,15
ALMADIES,NDIOB,13
ALMADIES,KOUMBAL,30
ALMADIES,RAO,39
ALMADIES,SARE BIDJI,14
ALMADIES,NIAGUIS,22
ALMADIES,KOUSSANAR,13
ALMADIES,OGO,18
ALMADIES,OURO SIDY,10
GRAND DAKAR,PARCELLES ASSAINIES,233
GRAND DAKAR,ALMADIES,169
GRAND DAKAR,DAKAR PLATEAU,266
GRAND DAKAR,GUEDIAWAYE,98
GRAND DAKAR,PIKINE DAGOUDANE,107
GRAND DAKAR,THIAROYE,94
GRAND DAKAR,NIAYES,89
GRAND DAKAR,RUFISQUE,31
GRAND DAKAR,BAMBILOR,29
GRAND DAKAR,SINDIA,36
GRAND DAKAR,THIENABA,20
GRAND DAKAR,PAMBAL,19
GRAND DAKAR,MEOUANE,12
GRAND DAKAR,THIES SUD,44
GRAND DAKAR,SESSENE,11
GRAND DAKAR,NDAME,42
GRAND DAKAR,NDOULO,18
GRAND DAKAR,NGOYE,32
GRAND DAKAR,NIAKHAR,26
GRAND DAKAR,TATTAGUINE,17
GRAND DAKAR,NDIOB,17
GRAND DAKAR,FIMELA,12
GRAND DAKAR,TOUBACOUTA,16
GRAND DAKAR,DJILOR,12
GRAND DAKAR,MBEDIENE,19
GRAND DAKAR,KOUMBAL,44
GRAND DAKAR,PAOS KOTO,18
GRAND DAKAR,WACK NGOUNA,11
GRAND DAKAR,NDIAYE MBERESS,13
GRAND DAKAR,RAO,46
GRAND DAKAR,SARE BIDJI,14
GRAND DAKAR,TENGHORY,18
GRAND DAKAR,NIAGUIS,39
GRAND DAKAR,KOUSSANAR,14
GRAND DAKAR,OGO,12
GRAND DAKAR,AGNAM CIVOL,12
GRAND DAKAR,ORKADIERE,23
GRAND DAKAR,OURO SIDY,11
DAKAR PLATEAU,PARCELLES ASSAINIES,202
DAKAR PLATEAU,ALMADIES,189
DAKAR PLATEAU,GRAND DAKAR,293
DAKAR PLATEAU,GUEDIAWAYE,133
DAKAR PLATEAU,PIKINE DAGOUDANE,106
DAKAR PLATEAU,THIAROYE,100
DAKAR PLATEAU,NIAYES,121
DAKAR PLATEAU,RUFISQUE,59
DAKAR PLATEAU,BAMBILOR,57
DAKAR PLATEAU,KEUR MOUSSA,12
DAKAR PLATEAU,SINDIA,73
DAKAR PLATEAU,THIENABA,50
DAKAR PLATEAU,PAMBAL,19
DAKAR PLATEAU,MEOUANE,15
DAKAR PLATEAU,THIES SUD,55
DAKAR PLATEAU,THIES NORD,12
DAKAR PLATEAU,SESSENE,22
DAKAR PLATEAU,NDAME,58
DAKAR PLATEAU,NDOULO,40
DAKAR PLATEAU,NGOYE,16
DAKAR PLATEAU,TATTAGUINE,21
DAKAR PLATEAU,FIMELA,24
DAKAR PLATEAU,TOUBACOUTA,22
DAKAR PLATEAU,DJILOR,10
DAKAR PLATEAU,MBEDIENE,20
DAKAR PLATEAU,NGOTHIE,14
DAKAR PLATEAU,KOUMBAL,64
DAKAR PLATEAU,PAOS KOTO,13
DAKAR PLATEAU,NDIAYE MBERESS,18
DAKAR PLATEAU,GAMADJI SARRE,15
DAKAR PLATEAU,CAS CAS,11
DAKAR PLATEAU,RAO,44
DAKAR PLATEAU,SARE BIDJI,23
DAKAR PLATEAU,DIENDE,10
DAKAR PLATEAU,TENGHORY,10
DAKAR PLATEAU,NIAGUIS,41
DAKAR PLATEAU,KOUSSANAR,20
DAKAR PLATEAU,MOUDERY,15
DAKAR PLATEAU,OGO,19
DAKAR PLATEAU,ORKADIERE,21
DAKAR PLATEAU,OURO SIDY,12
GUEDIAWAYE,PARCELLES ASSAINIES,133
GUEDIAWAYE,ALMADIES,33
GUEDIAWAYE,GRAND DAKAR,53
GUEDIAWAYE,DAKAR PLATEAU,87
GUEDIAWAYE,PIKINE DAGOUDANE,98
GUEDIAWAYE,THIAROYE,17
GUEDIAWAYE,NIAYES,64
GUEDIAWAYE,BAMBILOR,17
GUEDIAWAYE,SINDIA,22
GUEDIAWAYE,THIENABA,11
GUEDIAWAYE,PAMBAL,11
GUEDIAWAYE,MEOUANE,14
GUEDIAWAYE,THIES SUD,15
GUEDIAWAYE,NDAME,26
GUEDIAWAYE,FIMELA,13
GUEDIAWAYE,TOUBACOUTA,10
GUEDIAWAYE,MBEDIENE,11
GUEDIAWAYE,KOUMBAL,28
GUEDIAWAYE,GAMADJI SARRE,21
GUEDIAWAYE,CAS CAS,14
GUEDIAWAYE,RAO,31
GUEDIAWAYE,DIENDE,10
GUEDIAWAYE,TENGHORY,15
GUEDIAWAYE,NIAGUIS,22
GUEDIAWAYE,OGO,18
GUEDIAWAYE,AGNAM CIVOL,12
GUEDIAWAYE,ORKADIERE,12
PIKINE DAGOUDANE,PARCELLES ASSAINIES,38
PIKINE DAGOUDANE,ALMADIES,31
PIKINE DAGOUDANE,GRAND DAKAR,77
PIKINE DAGOUDANE,DAKAR PLATEAU,74
PIKINE DAGOUDANE,GUEDIAWAYE,86
PIKINE DAGOUDANE,THIAROYE,81
PIKINE DAGOUDANE,NIAYES,72
PIKINE DAGOUDANE,BAMBILOR,18
PIKINE DAGOUDANE,SINDIA,24
PIKINE DAGOUDANE,THIENABA,15
PIKINE DAGOUDANE,THIES SUD,18
PIKINE DAGOUDANE,NDAME,36
PIKINE DAGOUDANE,NDOULO,13
PIKINE DAGOUDANE,NGOYE,11
PIKINE DAGOUDANE,NIODIOR,10
PIKINE DAGOUDANE,TOUBACOUTA,11
PIKINE DAGOUDANE,MBEDIENE,14
PIKINE DAGOUDANE,KOUMBAL,12
PIKINE DAGOUDANE,GAMADJI SARRE,10
PIKINE DAGOUDANE,RAO,16
PIKINE DAGOUDANE,NIAGUIS,17
PIKINE DAGOUDANE,OGO,18
THIAROYE,PARCELLES ASSAINIES,47
THIAROYE,ALMADIES,32
THIAROYE,GRAND DAKAR,61
THIAROYE,DAKAR PLATEAU,92
THIAROYE,GUEDIAWAYE,19
THIAROYE,PIKINE DAGOUDANE,123
THIAROYE,NIAYES,101
THIAROYE,RUFISQUE,45
THIAROYE,BAMBILOR,31
THIAROYE,SINDIA,17
THIAROYE,THIENABA,12
THIAROYE,MEOUANE,10
THIAROYE,THIES SUD,17
THIAROYE,THIES NORD,10
THIAROYE,NDAME,33
THIAROYE,NDOULO,10
THIAROYE,TATTAGUINE,13
THIAROYE,TOUBACOUTA,11
THIAROYE,MBEDIENE,15
THIAROYE,YANG YANG,10
THIAROYE,KOUMBAL,21
THIAROYE,NDIAYE MBERESS,10
THIAROYE,GAMADJI SARRE,10
THIAROYE,RAO,23
THIAROYE,SARE BIDJI,15
THIAROYE,NIAGUIS,18
THIAROYE,KOUSSANAR,12
THIAROYE,OGO,11
NIAYES,PARCELLES ASSAINIES,54
NIAYES,ALMADIES,35
NIAYES,GRAND DAKAR,59
NIAYES,DAKAR PLATEAU,108
NIAYES,GUEDIAWAYE,61
NIAYES,PIKINE DAGOUDANE,64
NIAYES,THIAROYE,61
NIAYES,RUFISQUE,10
NIAYES,BAMBILOR,38
NIAYES,SINDIA,20
NIAYES,NDAME,17
NIAYES,NDOULO,13
NIAYES,NIODIOR,12
NIAYES,KOUMBAL,17
NIAYES,NDIAYE MBERESS,10
NIAYES,GAMADJI SARRE,11
NIAYES,RAO,21
NIAYES,TENGHORY,19
NIAYES,NIAGUIS,25
NIAYES,OGO,12
RUFISQUE,PARCELLES ASSAINIES,14
RUFISQUE,GRAND DAKAR,29
RUFISQUE,DAKAR PLATEAU,23
RUFISQUE,PIKINE DAGOUDANE,12
RUFISQUE,THIAROYE,32
RUFISQUE,BAMBILOR,24
RUFISQUE,SINDIA,16
RUFISQUE,THIES SUD,10
RUFISQUE,NDAME,11
RUFISQUE,RAO,12
BAMBILOR,PARCELLES ASSAINIES,18
BAMBILOR,ALMADIES,16
BAMBILOR,GRAND DAKAR,19
BAMBILOR,DAKAR PLATEAU,35
BAMBILOR,GUEDIAWAYE,13
BAMBILOR,PIKINE DAGOUDANE,10
BAMBILOR,THIAROYE,20
BAMBILOR,NIAYES,41
BAMBILOR,RUFISQUE,30
BAMBILOR,SINDIA,19
BAMBILOR,NDAME,15
KEUR MOUSSA,BAMBILOR,16
SINDIA,PARCELLES ASSAINIES,30
SINDIA,ALMADIES,26
SINDIA,GRAND DAKAR,27
SINDIA,DAKAR PLATEAU,34
SINDIA,GUEDIAWAYE,169
SINDIA,PIKINE DAGOUDANE,16
SINDIA,THIAROYE,20
SINDIA,NIAYES,14
SINDIA,RUFISQUE,15
SINDIA,BAMBILOR,20
SINDIA,THIENABA,10
SINDIA,THIES SUD,30
SINDIA,THIES NORD,11
SINDIA,SESSENE,24
SINDIA,NDAME,24
SINDIA,TATTAGUINE,11
SINDIA,FIMELA,10
SINDIA,KOUMBAL,22
SINDIA,RAO,35
SINDIA,NIAGUIS,13
THIENABA,THIES SUD,14
PAMBAL,DAKAR PLATEAU,11
PAMBAL,MEOUANE,11
PAMBAL,MERINA DAKHAR,12
MEOUANE,DAKAR PLATEAU,10
MEOUANE,PAMBAL,13
THIES SUD,PARCELLES ASSAINIES,26
THIES SUD,ALMADIES,11
THIES SUD,GRAND DAKAR,14
THIES SUD,DAKAR PLATEAU,30
THIES SUD,PIKINE DAGOUDANE,10
THIES SUD,THIAROYE,12
THIES SUD,NIAYES,10
THIES SUD,RUFISQUE,12
THIES SUD,BAMBILOR,11
THIES SUD,SINDIA,22
THIES SUD,THIENABA,23
THIES SUD,PAMBAL,11
THIES SUD,THIES NORD,63
THIES SUD,NDAME,12
THIES SUD,RAO,22
THIES NORD,PARCELLES ASSAINIES,12
THIES NORD,DAKAR PLATEAU,10
THIES NORD,THIES SUD,68
SESSENE,PARCELLES ASSAINIES,12
SESSENE,SINDIA,34
SESSENE,MEOUANE,11
SESSENE,TATTAGUINE,10
SESSENE,FIMELA,14
SESSENE,NIODIOR,20
NDAME,PARCELLES ASSAINIES,16
NDAME,GRAND DAKAR,10
NDAME,DAKAR PLATEAU,12
NDAME,GUEDIAWAYE,15
