from,to,count
PARCELLES ASSAINIES,ALMADIES,179
PARCELLES ASSAINIES,GRAND DAKAR,225
PARCELLES ASSAINIES,DAKAR PLATEAU,283
PARCELLES ASSAINIES,GUEDIAWAYE,118
PARCELLES ASSAINIES,PIKINE DAGOUDANE,40
PARCELLES ASSAINIES,THIAROYE,46
PARCELLES ASSAINIES,NIAYES,50
PARCELLES ASSAINIES,RUFISQUE,10
PARCELLES ASSAINIES,BAMBILOR,17
PARCELLES ASSAINIES,SINDIA,37
PARCELLES ASSAINIES,PAMBAL,10
PARCELLES ASSAINIES,MEOUANE,12
PARCELLES ASSAINIES,THIES SUD,20
PARCELLES ASSAINIES,NDAME,21
PARCELLES ASSAINIES,MBEDIENE,12
PARCELLES ASSAINIES,BARKEDJI,25
PARCELLES ASSAINIES,KOUMBAL,28
PARCELLES ASSAINIES,GAMADJI SARRE,10
PARCELLES ASSAINIES,RAO,28
PARCELLES ASSAINIES,TENGHORY,14
PARCELLES ASSAINIES,NIAGUIS,27
PARCELLES ASSAINIES,KOUSSANAR,10
ALMADIES,PARCELLES ASSAINIES,129
ALMADIES,GRAND DAKAR,146
ALMADIES,DAKAR PLATEAU,223
ALMADIES,GUEDIAWAYE,23
ALMADIES,PIKINE DAGOUDANE,28
ALMADIES,THIAROYE,32
ALMADIES,NIAYES,33
ALMADIES,RUFISQUE,12
ALMADIES,BAMBILOR,22
ALMADIES,SINDIA,25
ALMADIES,THIES SUD,12
ALMADIES,NDAME,12
ALMADIES,NDOULO,10
ALMADIES,KOUMBAL,11
ALMADIES,RAO,23
ALMADIES,NIAGUIS,11
GRAND DAKAR,PARCELLES ASSAINIES,196
GRAND DAKAR,ALMADIES,173
GRAND DAKAR,DAKAR PLATEAU,343
GRAND DAKAR,GUEDIAWAYE,34
GRAND DAKAR,PIKINE DAGOUDANE,67
GRAND DAKAR,THIAROYE,46
GRAND DAKAR,NIAYES,41
GRAND DAKAR,RUFISQUE,14
GRAND DAKAR,BAMBILOR,30
GRAND DAKAR,SINDIA,33
GRAND DAKAR,THIES SUD,13
GRAND DAKAR,NDAME,15
GRAND DAKAR,KOUMBAL,17
GRAND DAKAR,RAO,20
GRAND DAKAR,SARE BIDJI,10
GRAND DAKAR,NIAGUIS,20
DAKAR PLATEAU,PARCELLES ASSAINIES,160
DAKAR PLATEAU,ALMADIES,141
DAKAR PLATEAU,GRAND DAKAR,247
DAKAR PLATEAU,GUEDIAWAYE,79
DAKAR PLATEAU,PIKINE DAGOUDANE,67
DAKAR PLATEAU,THIAROYE,81
DAKAR PLATEAU,NIAYES,80
DAKAR PLATEAU,RUFISQUE,22
DAKAR PLATEAU,BAMBILOR,29
DAKAR PLATEAU,SINDIA,58
DAKAR PLATEAU,THIES SUD,27
DAKAR PLATEAU,NDAME,16
DAKAR PLATEAU,NDOULO,12
DAKAR PLATEAU,KOUMBAL,28
DAKAR PLATEAU,RAO,27
DAKAR PLATEAU,NIAGUIS,11
DAKAR PLATEAU,MOUDERY,10
DAKAR PLATEAU,ORKADIERE,10
GUEDIAWAYE,PARCELLES ASSAINIES,124
GUEDIAWAYE,ALMADIES,57
GUEDIAWAYE,GRAND DAKAR,106
GUEDIAWAYE,DAKAR PLATEAU,151
GUEDIAWAYE,PIKINE DAGOUDANE,91
GUEDIAWAYE,THIAROYE,27
GUEDIAWAYE,NIAYES,63
GUEDIAWAYE,BAMBILOR,15
GUEDIAWAYE,SINDIA,10
GUEDIAWAYE,NDAME,11
GUEDIAWAYE,RAO,15
GUEDIAWAYE,OGO,10
PIKINE DAGOUDANE,PARCELLES ASSAINIES,37
PIKINE DAGOUDANE,ALMADIES,39
PIKINE DAGOUDANE,GRAND DAKAR,122
PIKINE DAGOUDANE,DAKAR PLATEAU,104
PIKINE DAGOUDANE,GUEDIAWAYE,93
PIKINE DAGOUDANE,THIAROYE,116
PIKINE DAGOUDANE,NIAYES,64
PIKINE DAGOUDANE,RUFISQUE,10
PIKINE DAGOUDANE,BAMBILOR,17
PIKINE DAGOUDANE,SINDIA,19
PIKINE DAGOUDANE,THIES SUD,10
PIKINE DAGOUDANE,NDAME,24
PIKINE DAGOUDANE,KOUMBAL,11
PIKINE DAGOUDANE,NIAGUIS,13
THIAROYE,PARCELLES ASSAINIES,49
THIAROYE,ALMADIES,36
THIAROYE,GRAND DAKAR,105
THIAROYE,DAKAR PLATEAU,127
THIAROYE,GUEDIAWAYE,20
THIAROYE,PIKINE DAGOUDANE,89
THIAROYE,NIAYES,62
THIAROYE,RUFISQUE,37
THIAROYE,BAMBILOR,21
THIAROYE,SINDIA,23
THIAROYE,MEOUANE,26
THIAROYE,THIES SUD,12
THIAROYE,NDAME,12
THIAROYE,RAO,10
THIAROYE,TENDOUCK,10
THIAROYE,NIAGUIS,11
NIAYES,PARCELLES ASSAINIES,72
NIAYES,ALMADIES,46
NIAYES,GRAND DAKAR,105
NIAYES,DAKAR PLATEAU,127
NIAYES,GUEDIAWAYE,81
NIAYES,PIKINE DAGOUDANE,60
NIAYES,THIAROYE,96
NIAYES,RUFISQUE,18
NIAYES,BAMBILOR,54
NIAYES,SINDIA,11
NIAYES,RAO,10
NIAYES,NIAGUIS,11
RUFISQUE,PARCELLES ASSAINIES,13
RUFISQUE,ALMADIES,17
RUFISQUE,GRAND DAKAR,29
RUFISQUE,DAKAR PLATEAU,41
RUFISQUE,THIAROYE,47
RUFISQUE,BAMBILOR,36
RUFISQUE,SINDIA,19
BAMBILOR,PARCELLES ASSAINIES,27
BAMBILOR,ALMADIES,28
BAMBILOR,GRAND DAKAR,37
BAMBILOR,DAKAR PLATEAU,53
BAMBILOR,PIKINE DAGOUDANE,17
BAMBILOR,THIAROYE,25
BAMBILOR,NIAYES,37
BAMBILOR,RUFISQUE,32
BAMBILOR,SINDIA,20
KEUR MOUSSA,BAMBILOR,18
SINDIA,PARCELLES ASSAINIES,32
SINDIA,ALMADIES,24
SINDIA,GRAND DAKAR,31
SINDIA,DAKAR PLATEAU,41
SINDIA,GUEDIAWAYE,19
SINDIA,PIKINE DAGOUDANE,19
SINDIA,THIAROYE,21
SINDIA,NIAYES,19
SINDIA,RUFISQUE,12
SINDIA,BAMBILOR,17
SINDIA,THIES SUD,14
SINDIA,SESSENE,25
SINDIA,NIODIOR,13
NOTTO,THIES SUD,18
THIENABA,PARCELLES ASSAINIES,12
THIENABA,GRAND DAKAR,10
THIENABA,DAKAR PLATEAU,36
THIENABA,PIKINE DAGOUDANE,10
THIENABA,THIAROYE,10
THIENABA,SINDIA,10
THIENABA,THIES SUD,25
PAMBAL,PARCELLES ASSAINIES,23
PAMBAL,ALMADIES,12
PAMBAL,GRAND DAKAR,27
PAMBAL,DAKAR PLATEAU,21
PAMBAL,MEOUANE,231
PAMBAL,THIES NORD,10
PAMBAL,FISSEL,33
MEOUANE,TATTAGUINE,18
THIES SUD,PARCELLES ASSAINIES,38
THIES SUD,ALMADIES,24
THIES SUD,GRAND DAKAR,33
THIES SUD,DAKAR PLATEAU,38
THIES SUD,GUEDIAWAYE,11
THIES SUD,PIKINE DAGOUDANE,11
THIES SUD,THIAROYE,16
THIES SUD,BAMBILOR,10
THIES SUD,SINDIA,27
THIES SUD,MEOUANE,16
THIES SUD,THIES NORD,72
THIES SUD,RAO,16
THIES NORD,PARCELLES ASSAINIES,18
THIES NORD,GRAND DAKAR,10
THIES NORD,DAKAR PLATEAU,10
THIES NORD,SINDIA,14
THIES NORD,THIES SUD,63
SESSENE,PARCELLES ASSAINIES,14
SESSENE,DAKAR PLATEAU,15
SESSENE,THIAROYE,12
SESSENE,SINDIA,32
NDAME,PARCELLES ASSAINIES,46
NDAME,ALMADIES,18
NDAME,GRAND DAKAR,31
NDAME,DAKAR PLATEAU,38
NDAME,GUEDIAWAYE,16
NDAME,PIKINE DAGOUDANE,22
NDAME,THIAROYE,16
NDAME,NIAYES,15
NDAME,RUFISQUE,10
NDAME,SINDIA,31
NDAME,MEOUANE,299
