from,to,count
PARCELLES ASSAINIES,ALMADIES,149
PARCELLES ASSAINIES,GRAND DAKAR,191
PARCELLES ASSAINIES,DAKAR PLATEAU,213
PARCELLES ASSAINIES,GUEDIAWAYE,91
PARCELLES ASSAINIES,PIKINE DAGOUDANE,34
PARCELLES ASSAINIES,THIAROYE,43
PARCELLES ASSAINIES,NIAYES,44
PARCELLES ASSAINIES,RUFISQUE,11
PARCELLES ASSAINIES,BAMBILOR,17
PARCELLES ASSAINIES,KEUR MOUSSA,3
PARCELLES ASSAINIES,SINDIA,33
PARCELLES ASSAINIES,NOTTO,1
PARCELLES ASSAINIES,THIENABA,4
PARCELLES ASSAINIES,PAMBAL,8
PARCELLES ASSAINIES,MEOUANE,5
PARCELLES ASSAINIES,MERINA DAKHAR,0
PARCELLES ASSAINIES,NIAKHENE,3
PARCELLES ASSAINIES,THIES SUD,25
PARCELLES ASSAINIES,THIES NORD,14
PARCELLES ASSAINIES,FISSEL,3
PARCELLES ASSAINIES,SESSENE,7
PARCELLES ASSAINIES,TAIF,1
PARCELLES ASSAINIES,KAEL,0
PARCELLES ASSAINIES,NDAME,93
PARCELLES ASSAINIES,NDOULO,7
PARCELLES ASSAINIES,NDINDY,0
PARCELLES ASSAINIES,NGOYE,1
PARCELLES ASSAINIES,LAMBAYE,2
PARCELLES ASSAINIES,BABA GARAGE,0
PARCELLES ASSAINIES,COLOBANE,1
PARCELLES ASSAINIES,NIAKHAR,3
PARCELLES ASSAINIES,TATTAGUINE,13
PARCELLES ASSAINIES,OUADIOUR,3
PARCELLES ASSAINIES,NDIOB,7
PARCELLES ASSAINIES,FIMELA,4
PARCELLES ASSAINIES,NIODIOR,1
PARCELLES ASSAINIES,TOUBACOUTA,4
PARCELLES ASSAINIES,DJILOR,7
PARCELLES ASSAINIES,SAKAL,4
PARCELLES ASSAINIES,MEUR MOMAR SARR,2
PARCELLES ASSAINIES,MBEDIENE,4
PARCELLES ASSAINIES,COKI,0
PARCELLES ASSAINIES,SAGATTA GUETH I,5
PARCELLES ASSAINIES,SAGATTA GUETH II,0
PARCELLES ASSAINIES,DAROU MOUSTY,0
PARCELLES ASSAINIES,SAGATTA DJOLOF,0
PARCELLES ASSAINIES,YANG YANG,0
PARCELLES ASSAINIES,DODJI,2
PARCELLES ASSAINIES,BARKEDJI,1
PARCELLES ASSAINIES,MBADAKHOUNE,0
PARCELLES ASSAINIES,NGUELOU,1
PARCELLES ASSAINIES,NGOTHIE,2
PARCELLES ASSAINIES,KOUMBAL,29
PARCELLES ASSAINIES,NDIEDIENG,0
PARCELLES ASSAINIES,PAOS KOTO,3
PARCELLES ASSAINIES,WACK NGOUNA,5
PARCELLES ASSAINIES,MEDINA SABAKH,2
PARCELLES ASSAINIES,GNIBY,1
PARCELLES ASSAINIES,DAROU MINAME II,0
PARCELLES ASSAINIES,KATAKELKEUR MBOUCKI,2
PARCELLES ASSAINIES,KEUR MBOUCKI,1
PARCELLES ASSAINIES,SAGNA,1
PARCELLES ASSAINIES,IDA MOURIDE,1
PARCELLES ASSAINIES,MISSIRAH WADENE,0
PARCELLES ASSAINIES,LOUR ESCALE,0
PARCELLES ASSAINIES,MABO,2
PARCELLES ASSAINIES,MBANE,3
PARCELLES ASSAINIES,SALDE,0
PARCELLES ASSAINIES,NDIAYE MBERESS,6
PARCELLES ASSAINIES,GAMADJI SARRE,4
PARCELLES ASSAINIES,CAS CAS,2
PARCELLES ASSAINIES,RAO,17
PARCELLES ASSAINIES,THILE BOUBACAR,2
PARCELLES ASSAINIES,FAFACOUROU,0
PARCELLES ASSAINIES,MAMPATIM,1
PARCELLES ASSAINIES,NDORNA,0
PARCELLES ASSAINIES,BONCONTO,1
PARCELLES ASSAINIES,NIAMING,0
PARCELLES ASSAINIES,DIOULACOLON,2
PARCELLES ASSAINIES,SARE COLY SALE,2
PARCELLES ASSAINIES,PAKOUR,0
PARCELLES ASSAINIES,SARE BIDJI,8
PARCELLES ASSAINIES,DJIBANAR,5
PARCELLES ASSAINIES,DJIREDJI,0
PARCELLES ASSAINIES,DIAROUME,2
PARCELLES ASSAINIES,BONA,2
PARCELLES ASSAINIES,KARANTABA,0
PARCELLES ASSAINIES,DIENDE,4
PARCELLES ASSAINIES,BOGHAL,1
PARCELLES ASSAINIES,SIMBANDI BRASSOU,0
PARCELLES ASSAINIES,DJIBABOUYA,3
PARCELLES ASSAINIES,CABROUSSE,3
PARCELLES ASSAINIES,LOUDIA OUOLOF,0
PARCELLES ASSAINIES,SINDIAN,3
PARCELLES ASSAINIES,TENGHORY,11
PARCELLES ASSAINIES,KATABA I,2
PARCELLES ASSAINIES,TENDOUCK,2
PARCELLES ASSAINIES,NYASSIA,1
PARCELLES ASSAINIES,NIAGUIS,18
PARCELLES ASSAINIES,BANDAFASSI,4
PARCELLES ASSAINIES,BEMBOU,0
PARCELLES ASSAINIES,DAKATELY,0
PARCELLES ASSAINIES,DAR SALAM,0
PARCELLES ASSAINIES,FONGOLIMBI,0
PARCELLES ASSAINIES,SABODALA,1
PARCELLES ASSAINIES,KOUSSANAR,13
PARCELLES ASSAINIES,MISSIRAH,1
PARCELLES ASSAINIES,MAKACOULIBANTANG,0
PARCELLES ASSAINIES,KOUTHIABA OUOLOF,0
PARCELLES ASSAINIES,BAMBA NDIAYENE,0
PARCELLES ASSAINIES,KOULOR,0
PARCELLES ASSAINIES,DIANKE MAKHA,0
PARCELLES ASSAINIES,BALA,2
PARCELLES ASSAINIES,BOYNGUEL BAMBA,1
PARCELLES ASSAINIES,MOUDERY,5
PARCELLES ASSAINIES,KENIEBA,0
PARCELLES ASSAINIES,BELE,1
PARCELLES ASSAINIES,OGO,8
PARCELLES ASSAINIES,AGNAM CIVOL,9
PARCELLES ASSAINIES,VELINGARA,0
PARCELLES ASSAINIES,ORKADIERE,4
PARCELLES ASSAINIES,OURO SIDY,3
ALMADIES,PARCELLES ASSAINIES,192
ALMADIES,GRAND DAKAR,168
ALMADIES,DAKAR PLATEAU,194
ALMADIES,GUEDIAWAYE,46
ALMADIES,PIKINE DAGOUDANE,32
ALMADIES,THIAROYE,41
ALMADIES,NIAYES,46
ALMADIES,RUFISQUE,8
ALMADIES,BAMBILOR,19
ALMADIES,KEUR MOUSSA,0
ALMADIES,SINDIA,23
ALMADIES,NOTTO,4
ALMADIES,THIENABA,2
ALMADIES,PAMBAL,4
ALMADIES,MEOUANE,7
ALMADIES,MERINA DAKHAR,1
ALMADIES,NIAKHENE,0
ALMADIES,THIES SUD,14
ALMADIES,THIES NORD,7
ALMADIES,FISSEL,0
ALMADIES,SESSENE,6
ALMADIES,TAIF,0
ALMADIES,KAEL,0
ALMADIES,NDAME,44
ALMADIES,NDOULO,11
ALMADIES,NDINDY,0
ALMADIES,NGOYE,5
ALMADIES,LAMBAYE,0
ALMADIES,BABA GARAGE,0
ALMADIES,COLOBANE,0
ALMADIES,NIAKHAR,2
ALMADIES,TATTAGUINE,10
ALMADIES,OUADIOUR,1
ALMADIES,NDIOB,4
ALMADIES,FIMELA,1
ALMADIES,NIODIOR,0
ALMADIES,TOUBACOUTA,6
ALMADIES,DJILOR,5
ALMADIES,SAKAL,1
ALMADIES,MEUR MOMAR SARR,0
ALMADIES,MBEDIENE,4
ALMADIES,COKI,0
ALMADIES,SAGATTA GUETH I,0
ALMADIES,SAGATTA GUETH II,1
ALMADIES,DAROU MOUSTY,2
ALMADIES,SAGATTA DJOLOF,2
ALMADIES,YANG YANG,2
ALMADIES,DODJI,2
ALMADIES,BARKEDJI,0
ALMADIES,MBADAKHOUNE,0
ALMADIES,NGUELOU,1
ALMADIES,NGOTHIE,2
ALMADIES,KOUMBAL,12
ALMADIES,NDIEDIENG,0
ALMADIES,PAOS KOTO,2
ALMADIES,WACK NGOUNA,0
ALMADIES,MEDINA SABAKH,2
ALMADIES,GNIBY,0
ALMADIES,DAROU MINAME II,0
ALMADIES,KATAKELKEUR MBOUCKI,0
ALMADIES,KEUR MBOUCKI,1
ALMADIES,SAGNA,1
ALMADIES,IDA MOURIDE,1
ALMADIES,MISSIRAH WADENE,0
ALMADIES,LOUR ESCALE,0
ALMADIES,MABO,1
ALMADIES,MBANE,1
ALMADIES,SALDE,0
ALMADIES,NDIAYE MBERESS,3
ALMADIES,GAMADJI SARRE,3
ALMADIES,CAS CAS,1
ALMADIES,RAO,9
ALMADIES,THILE BOUBACAR,1
ALMADIES,FAFACOUROU,0
ALMADIES,MAMPATIM,0
ALMADIES,NDORNA,0
ALMADIES,BONCONTO,1
ALMADIES,NIAMING,1
ALMADIES,DIOULACOLON,0
ALMADIES,SARE COLY SALE,2
ALMADIES,PAKOUR,0
ALMADIES,SARE BIDJI,1
ALMADIES,DJIBANAR,2
ALMADIES,DJIREDJI,0
ALMADIES,DIAROUME,0
ALMADIES,BONA,0
ALMADIES,KARANTABA,0
ALMADIES,DIENDE,2
ALMADIES,BOGHAL,1
ALMADIES,SIMBANDI BRASSOU,0
ALMADIES,DJIBABOUYA,0
ALMADIES,CABROUSSE,0
ALMADIES,LOUDIA OUOLOF,2
ALMADIES,SINDIAN,1
ALMADIES,TENGHORY,2
ALMADIES,KATABA I,1
ALMADIES,TENDOUCK,1
ALMADIES,NYASSIA,0
ALMADIES,NIAGUIS,10
ALMADIES,BANDAFASSI,1
ALMADIES,BEMBOU,0
ALMADIES,DAKATELY,0
ALMADIES,DAR SALAM,0
ALMADIES,FONGOLIMBI,0
ALMADIES,SABODALA,0
ALMADIES,KOUSSANAR,3
ALMADIES,MISSIRAH,3
ALMADIES,MAKACOULIBANTANG,0
ALMADIES,KOUTHIABA OUOLOF,1
ALMADIES,BAMBA NDIAYENE,0
ALMADIES,KOULOR,0
ALMADIES,DIANKE MAKHA,0
ALMADIES,BALA,0
ALMADIES,BOYNGUEL BAMBA,1
ALMADIES,MOUDERY,0
ALMADIES,KENIEBA,0
ALMADIES,BELE,0
ALMADIES,OGO,7
ALMADIES,AGNAM CIVOL,0
ALMADIES,VELINGARA,0
ALMADIES,ORKADIERE,0
ALMADIES,OURO SIDY,2
GRAND DAKAR,PARCELLES ASSAINIES,223
GRAND DAKAR,ALMADIES,147
GRAND DAKAR,DAKAR PLATEAU,332
GRAND DAKAR,GUEDIAWAYE,91
GRAND DAKAR,PIKINE DAGOUDANE,84
GRAND DAKAR,THIAROYE,68
GRAND DAKAR,NIAYES,57
GRAND DAKAR,RUFISQUE,27
GRAND DAKAR,BAMBILOR,29
GRAND DAKAR,KEUR MOUSSA,2
GRAND DAKAR,SINDIA,20
GRAND DAKAR,NOTTO,1
GRAND DAKAR,THIENABA,6
GRAND DAKAR,PAMBAL,12
GRAND DAKAR,MEOUANE,5
GRAND DAKAR,MERINA DAKHAR,0
GRAND DAKAR,NIAKHENE,0
GRAND DAKAR,THIES SUD,17
GRAND DAKAR,THIES NORD,4
GRAND DAKAR,FISSEL,0
GRAND DAKAR,SESSENE,7
GRAND DAKAR,TAIF,0
GRAND DAKAR,KAEL,0
GRAND DAKAR,NDAME,95
GRAND DAKAR,NDOULO,8
GRAND DAKAR,NDINDY,2
GRAND DAKAR,NGOYE,7
GRAND DAKAR,LAMBAYE,0
GRAND DAKAR,BABA GARAGE,0
GRAND DAKAR,COLOBANE,0
GRAND DAKAR,NIAKHAR,4
GRAND DAKAR,TATTAGUINE,6
GRAND DAKAR,OUADIOUR,0
GRAND DAKAR,NDIOB,5
GRAND DAKAR,FIMELA,4
GRAND DAKAR,NIODIOR,1
GRAND DAKAR,TOUBACOUTA,2
GRAND DAKAR,DJILOR,1
GRAND DAKAR,SAKAL,0
GRAND DAKAR,MEUR MOMAR SARR,0
GRAND DAKAR,MBEDIENE,3
GRAND DAKAR,COKI,0
GRAND DAKAR,SAGATTA GUETH I,1
GRAND DAKAR,SAGATTA GUETH II,0
GRAND DAKAR,DAROU MOUSTY,2
GRAND DAKAR,SAGATTA DJOLOF,1
GRAND DAKAR,YANG YANG,0
GRAND DAKAR,DODJI,1
GRAND DAKAR,BARKEDJI,0
GRAND DAKAR,MBADAKHOUNE,0
GRAND DAKAR,NGUELOU,2
GRAND DAKAR,NGOTHIE,1
GRAND DAKAR,KOUMBAL,15
GRAND DAKAR,NDIEDIENG,0
GRAND DAKAR,PAOS KOTO,2
GRAND DAKAR,WACK NGOUNA,2
GRAND DAKAR,MEDINA SABAKH,1
GRAND DAKAR,GNIBY,0
GRAND DAKAR,DAROU MINAME II,0
GRAND DAKAR,KATAKELKEUR MBOUCKI,1
GRAND DAKAR,KEUR MBOUCKI,0
GRAND DAKAR,SAGNA,0
GRAND DAKAR,IDA MOURIDE,2
GRAND DAKAR,MISSIRAH WADENE,0
GRAND DAKAR,LOUR ESCALE,0
GRAND DAKAR,MABO,1
GRAND DAKAR,MBANE,0
GRAND DAKAR,SALDE,1
GRAND DAKAR,NDIAYE MBERESS,8
GRAND DAKAR,GAMADJI SARRE,5
GRAND DAKAR,CAS CAS,0
GRAND DAKAR,RAO,14
GRAND DAKAR,THILE BOUBACAR,0
GRAND DAKAR,FAFACOUROU,0
GRAND DAKAR,MAMPATIM,0
GRAND DAKAR,NDORNA,0
GRAND DAKAR,BONCONTO,0
GRAND DAKAR,NIAMING,0
GRAND DAKAR,DIOULACOLON,0
GRAND DAKAR,SARE COLY SALE,6
GRAND DAKAR,PAKOUR,0
GRAND DAKAR,SARE BIDJI,0
GRAND DAKAR,DJIBANAR,2
GRAND DAKAR,DJIREDJI,0
GRAND DAKAR,DIAROUME,0
GRAND DAKAR,BONA,0
GRAND DAKAR,KARANTABA,0
GRAND DAKAR,DIENDE,4
GRAND DAKAR,BOGHAL,0
GRAND DAKAR,SIMBANDI BRASSOU,1
GRAND DAKAR,DJIBABOUYA,0
GRAND DAKAR,CABROUSSE,0
GRAND DAKAR,LOUDIA OUOLOF,1
GRAND DAKAR,SINDIAN,0
GRAND DAKAR,TENGHORY,1
GRAND DAKAR,KATABA I,3
GRAND DAKAR,TENDOUCK,2
GRAND DAKAR,NYASSIA,0
GRAND DAKAR,NIAGUIS,19
GRAND DAKAR,BANDAFASSI,4
GRAND DAKAR,BEMBOU,0
GRAND DAKAR,DAKATELY,0
GRAND DAKAR,DAR SALAM,0
GRAND DAKAR,FONGOLIMBI,0
GRAND DAKAR,SABODALA,1
GRAND DAKAR,KOUSSANAR,6
GRAND DAKAR,MISSIRAH,0
GRAND DAKAR,MAKACOULIBANTANG,0
GRAND DAKAR,KOUTHIABA OUOLOF,1
GRAND DAKAR,BAMBA NDIAYENE,1
GRAND DAKAR,KOULOR,0
GRAND DAKAR,DIANKE MAKHA,0
GRAND DAKAR,BALA,0
GRAND DAKAR,BOYNGUEL BAMBA,0
GRAND DAKAR,MOUDERY,2
GRAND DAKAR,KENIEBA,0
GRAND DAKAR,BELE,1
GRAND DAKAR,OGO,6
GRAND DAKAR,AGNAM CIVOL,4
GRAND DAKAR,VELINGARA,1
GRAND DAKAR,ORKADIERE,4
GRAND DAKAR,OURO SIDY,3
DAKAR PLATEAU,PARCELLES ASSAINIES,206
DAKAR PLATEAU,ALMADIES,183
DAKAR PLATEAU,GRAND DAKAR,283
DAKAR PLATEAU,GUEDIAWAYE,83
DAKAR PLATEAU,PIKINE DAGOUDANE,69
DAKAR PLATEAU,THIAROYE,105
DAKAR PLATEAU,NIAYES,70
DAKAR PLATEAU,RUFISQUE,28
DAKAR PLATEAU,BAMBILOR,44
DAKAR PLATEAU,KEUR MOUSSA,5
DAKAR PLATEAU,SINDIA,33
DAKAR PLATEAU,NOTTO,4
DAKAR PLATEAU,THIENABA,7
DAKAR PLATEAU,PAMBAL,7
DAKAR PLATEAU,MEOUANE,11
DAKAR PLATEAU,MERINA DAKHAR,3
DAKAR PLATEAU,NIAKHENE,0
DAKAR PLATEAU,THIES SUD,20
DAKAR PLATEAU,THIES NORD,5
DAKAR PLATEAU,FISSEL,0
DAKAR PLATEAU,SESSENE,4
DAKAR PLATEAU,TAIF,1
DAKAR PLATEAU,KAEL,0
DAKAR PLATEAU,NDAME,76
DAKAR PLATEAU,NDOULO,14
DAKAR PLATEAU,NDINDY,0
DAKAR PLATEAU,NGOYE,5
DAKAR PLATEAU,LAMBAYE,2
DAKAR PLATEAU,BABA GARAGE,0
DAKAR PLATEAU,COLOBANE,0
DAKAR PLATEAU,NIAKHAR,1
DAKAR PLATEAU,TATTAGUINE,9
DAKAR PLATEAU,OUADIOUR,0
DAKAR PLATEAU,NDIOB,1
DAKAR PLATEAU,FIMELA,7
DAKAR PLATEAU,NIODIOR,1
DAKAR PLATEAU,TOUBACOUTA,3
DAKAR PLATEAU,DJILOR,2
DAKAR PLATEAU,SAKAL,0
DAKAR PLATEAU,MEUR MOMAR SARR,0
DAKAR PLATEAU,MBEDIENE,6
DAKAR PLATEAU,COKI,0
DAKAR PLATEAU,SAGATTA GUETH I,3
DAKAR PLATEAU,SAGATTA GUETH II,1
DAKAR PLATEAU,DAROU MOUSTY,1
DAKAR PLATEAU,SAGATTA DJOLOF,1
DAKAR PLATEAU,YANG YANG,1
DAKAR PLATEAU,DODJI,3
DAKAR PLATEAU,BARKEDJI,0
DAKAR PLATEAU,MBADAKHOUNE,0
DAKAR PLATEAU,NGUELOU,2
DAKAR PLATEAU,NGOTHIE,2
DAKAR PLATEAU,KOUMBAL,14
DAKAR PLATEAU,NDIEDIENG,1
DAKAR PLATEAU,PAOS KOTO,1
DAKAR PLATEAU,WACK NGOUNA,1
DAKAR PLATEAU,MEDINA SABAKH,0
DAKAR PLATEAU,GNIBY,1
DAKAR PLATEAU,DAROU MINAME II,0
DAKAR PLATEAU,KATAKELKEUR MBOUCKI,0
DAKAR PLATEAU,KEUR MBOUCKI,0
DAKAR PLATEAU,SAGNA,0
DAKAR PLATEAU,IDA MOURIDE,0
DAKAR PLATEAU,MISSIRAH WADENE,0
DAKAR PLATEAU,LOUR ESCALE,0
DAKAR PLATEAU,MABO,0
DAKAR PLATEAU,MBANE,4
DAKAR PLATEAU,SALDE,1
DAKAR PLATEAU,NDIAYE MBERESS,6
DAKAR PLATEAU,GAMADJI SARRE,3
DAKAR PLATEAU,CAS CAS,3
DAKAR PLATEAU,RAO,13
DAKAR PLATEAU,THILE BOUBACAR,2
DAKAR PLATEAU,FAFACOUROU,0
DAKAR PLATEAU,MAMPATIM,0
DAKAR PLATEAU,NDORNA,0
DAKAR PLATEAU,BONCONTO,1
DAKAR PLATEAU,NIAMING,0
DAKAR PLATEAU,DIOULACOLON,1
DAKAR PLATEAU,SARE COLY SALE,2
DAKAR PLATEAU,PAKOUR,0
DAKAR PLATEAU,SARE BIDJI,3
DAKAR PLATEAU,DJIBANAR,1
DAKAR PLATEAU,DJIREDJI,0
DAKAR PLATEAU,DIAROUME,0
DAKAR PLATEAU,BONA,0
DAKAR PLATEAU,KARANTABA,0
DAKAR PLATEAU,DIENDE,1
DAKAR PLATEAU,BOGHAL,0
DAKAR PLATEAU,SIMBANDI BRASSOU,0
DAKAR PLATEAU,DJIBABOUYA,0
DAKAR PLATEAU,CABROUSSE,0
DAKAR PLATEAU,LOUDIA OUOLOF,0
DAKAR PLATEAU,SINDIAN,2
DAKAR PLATEAU,TENGHORY,4
DAKAR PLATEAU,KATABA I,1
DAKAR PLATEAU,TENDOUCK,1
DAKAR PLATEAU,NYASSIA,0
DAKAR PLATEAU,NIAGUIS,7
DAKAR PLATEAU,BANDAFASSI,3
DAKAR PLATEAU,BEMBOU,1
DAKAR PLATEAU,DAKATELY,0
DAKAR PLATEAU,DAR SALAM,0
DAKAR PLATEAU,FONGOLIMBI,0
DAKAR PLATEAU,SABODALA,0
DAKAR PLATEAU,KOUSSANAR,2
DAKAR PLATEAU,MISSIRAH,2
DAKAR PLATEAU,MAKACOULIBANTANG,0
DAKAR PLATEAU,KOUTHIABA OUOLOF,0
DAKAR PLATEAU,BAMBA NDIAYENE,0
DAKAR PLATEAU,KOULOR,0
DAKAR PLATEAU,DIANKE MAKHA,1
DAKAR PLATEAU,BALA,0
DAKAR PLATEAU,BOYNGUEL BAMBA,0
DAKAR PLATEAU,MOUDERY,7
DAKAR PLATEAU,KENIEBA,0
DAKAR PLATEAU,BELE,2
DAKAR PLATEAU,OGO,7
DAKAR PLATEAU,AGNAM CIVOL,2
DAKAR PLATEAU,VELINGARA,0
DAKAR PLATEAU,ORKADIERE,6
DAKAR PLATEAU,OURO SIDY,1
GUEDIAWAYE,PARCELLES ASSAINIES,108
GUEDIAWAYE,ALMADIES,45
GUEDIAWAYE,GRAND DAKAR,73
GUEDIAWAYE,DAKAR PLATEAU,115
GUEDIAWAYE,PIKINE DAGOUDANE,73
GUEDIAWAYE,THIAROYE,15
GUEDIAWAYE,NIAYES,63
GUEDIAWAYE,RUFISQUE,4
GUEDIAWAYE,BAMBILOR,8
GUEDIAWAYE,KEUR MOUSSA,2
GUEDIAWAYE,SINDIA,53
GUEDIAWAYE,NOTTO,0
GUEDIAWAYE,THIENABA,5
GUEDIAWAYE,PAMBAL,4
GUEDIAWAYE,MEOUANE,2
GUEDIAWAYE,MERINA DAKHAR,1
GUEDIAWAYE,NIAKHENE,1
GUEDIAWAYE,THIES SUD,8
GUEDIAWAYE,THIES NORD,1
GUEDIAWAYE,FISSEL,1
GUEDIAWAYE,SESSENE,1
GUEDIAWAYE,TAIF,0
GUEDIAWAYE,KAEL,0
GUEDIAWAYE,NDAME,78
GUEDIAWAYE,NDOULO,9
GUEDIAWAYE,NDINDY,0
GUEDIAWAYE,NGOYE,4
GUEDIAWAYE,LAMBAYE,1
GUEDIAWAYE,BABA GARAGE,0
GUEDIAWAYE,COLOBANE,0
GUEDIAWAYE,NIAKHAR,1
GUEDIAWAYE,TATTAGUINE,2
GUEDIAWAYE,OUADIOUR,0
GUEDIAWAYE,NDIOB,0
GUEDIAWAYE,FIMELA,4
GUEDIAWAYE,NIODIOR,1
GUEDIAWAYE,TOUBACOUTA,0
GUEDIAWAYE,DJILOR,3
GUEDIAWAYE,SAKAL,0
GUEDIAWAYE,MEUR MOMAR SARR,1
GUEDIAWAYE,MBEDIENE,2
GUEDIAWAYE,COKI,1
GUEDIAWAYE,SAGATTA GUETH I,1
GUEDIAWAYE,SAGATTA GUETH II,0
GUEDIAWAYE,DAROU MOUSTY,3
GUEDIAWAYE,SAGATTA DJOLOF,0
GUEDIAWAYE,YANG YANG,0
GUEDIAWAYE,DODJI,3
GUEDIAWAYE,BARKEDJI,0
GUEDIAWAYE,MBADAKHOUNE,0
GUEDIAWAYE,NGUELOU,1
GUEDIAWAYE,NGOTHIE,3
GUEDIAWAYE,KOUMBAL,8
GUEDIAWAYE,NDIEDIENG,1
GUEDIAWAYE,PAOS KOTO,1
GUEDIAWAYE,WACK NGOUNA,0
GUEDIAWAYE,MEDINA SABAKH,0
GUEDIAWAYE,GNIBY,0
GUEDIAWAYE,DAROU MINAME II,0
GUEDIAWAYE,KATAKELKEUR MBOUCKI,1
GUEDIAWAYE,KEUR MBOUCKI,1
GUEDIAWAYE,SAGNA,0
GUEDIAWAYE,IDA MOURIDE,1
GUEDIAWAYE,MISSIRAH WADENE,0
GUEDIAWAYE,LOUR ESCALE,1
GUEDIAWAYE,MABO,0
GUEDIAWAYE,MBANE,0
GUEDIAWAYE,SALDE,1
GUEDIAWAYE,NDIAYE MBERESS,3
GUEDIAWAYE,GAMADJI SARRE,2
GUEDIAWAYE,CAS CAS,3
GUEDIAWAYE,RAO,11
GUEDIAWAYE,THILE BOUBACAR,2
GUEDIAWAYE,FAFACOUROU,1
GUEDIAWAYE,MAMPATIM,0
GUEDIAWAYE,NDORNA,0
GUEDIAWAYE,BONCONTO,2
GUEDIAWAYE,NIAMING,1
