from,to,count,
PARCELLES ASSAINIES,ALMADIES,133,No
PARCELLES ASSAINIES,GRAND DAKAR,191,No
PARCELLES ASSAINIES,DAKAR PLATEAU,215,No
PARCELLES ASSAINIES,GUEDIAWAYE,94,No
PARCELLES ASSAINIES,PIKINE DAGOUDANE,47,No
PARCELLES ASSAINIES,THIAROYE,32,No
PARCELLES ASSAINIES,NIAYES,42,No
PARCELLES ASSAINIES,RUFISQUE,15,No
PARCELLES ASSAINIES,BAMBILOR,22,No
PARCELLES ASSAINIES,KEUR MOUSSA,6,No
PARCELLES ASSAINIES,SINDIA,23,No
PARCELLES ASSAINIES,NOTTO,4,No
PARCELLES ASSAINIES,THIENABA,3,No
PARCELLES ASSAINIES,PAMBAL,14,No
PARCELLES ASSAINIES,MEOUANE,0,No
PARCELLES ASSAINIES,MERINA DAKHAR,1,No
PARCELLES ASSAINIES,NIAKHENE,0,No
PARCELLES ASSAINIES,THIES SUD,15,No
PARCELLES ASSAINIES,THIES NORD,7,No
PARCELLES ASSAINIES,FISSEL,1,No
PARCELLES ASSAINIES,SESSENE,5,No
PARCELLES ASSAINIES,TAIF,2,No
PARCELLES ASSAINIES,KAEL,0,No
PARCELLES ASSAINIES,NDAME,49,No
PARCELLES ASSAINIES,NDOULO,5,No
PARCELLES ASSAINIES,NDINDY,0,No
PARCELLES ASSAINIES,NGOYE,0,No
PARCELLES ASSAINIES,LAMBAYE,1,No
PARCELLES ASSAINIES,BABA GARAGE,0,No
PARCELLES ASSAINIES,COLOBANE,2,No
PARCELLES ASSAINIES,NIAKHAR,1,No
PARCELLES ASSAINIES,TATTAGUINE,4,No
PARCELLES ASSAINIES,OUADIOUR,2,No
PARCELLES ASSAINIES,NDIOB,4,No
PARCELLES ASSAINIES,FIMELA,7,No
PARCELLES ASSAINIES,NIODIOR,0,No
PARCELLES ASSAINIES,TOUBACOUTA,5,No
PARCELLES ASSAINIES,DJILOR,4,No
PARCELLES ASSAINIES,SAKAL,3,No
PARCELLES ASSAINIES,MEUR MOMAR SARR,1,No
PARCELLES ASSAINIES,MBEDIENE,5,No
PARCELLES ASSAINIES,COKI,1,No
PARCELLES ASSAINIES,SAGATTA GUETH I,7,No
PARCELLES ASSAINIES,SAGATTA GUETH II,4,No
PARCELLES ASSAINIES,DAROU MOUSTY,4,No
PARCELLES ASSAINIES,SAGATTA DJOLOF,6,No
PARCELLES ASSAINIES,YANG YANG,1,No
PARCELLES ASSAINIES,DODJI,0,No
PARCELLES ASSAINIES,BARKEDJI,3,No
PARCELLES ASSAINIES,MBADAKHOUNE,0,No
PARCELLES ASSAINIES,NGUELOU,2,No
PARCELLES ASSAINIES,NGOTHIE,0,No
PARCELLES ASSAINIES,KOUMBAL,21,No
PARCELLES ASSAINIES,NDIEDIENG,1,No
PARCELLES ASSAINIES,PAOS KOTO,6,No
