from,to,count
PARCELLES ASSAINIES,ALMADIES,143
PARCELLES ASSAINIES,GRAND DAKAR,182
PARCELLES ASSAINIES,DAKAR PLATEAU,220
PARCELLES ASSAINIES,GUEDIAWAYE,128
PARCELLES ASSAINIES,PIKINE DAGOUDANE,38
PARCELLES ASSAINIES,THIAROYE,44
PARCELLES ASSAINIES,NIAYES,59
PARCELLES ASSAINIES,RUFISQUE,16
PARCELLES ASSAINIES,BAMBILOR,15
PARCELLES ASSAINIES,SINDIA,34
PARCELLES ASSAINIES,PAMBAL,10
PARCELLES ASSAINIES,THIES SUD,15
PARCELLES ASSAINIES,NDAME,19
PARCELLES ASSAINIES,KOUMBAL,29
PARCELLES ASSAINIES,NDIAYE MBERESS,10
PARCELLES ASSAINIES,GAMADJI SARRE,12
PARCELLES ASSAINIES,RAO,14
PARCELLES ASSAINIES,SARE BIDJI,11
PARCELLES ASSAINIES,TENGHORY,17
PARCELLES ASSAINIES,NIAGUIS,25
PARCELLES ASSAINIES,OGO,10
ALMADIES,PARCELLES ASSAINIES,130
ALMADIES,GRAND DAKAR,110
ALMADIES,DAKAR PLATEAU,151
ALMADIES,GUEDIAWAYE,33
ALMADIES,PIKINE DAGOUDANE,25
ALMADIES,THIAROYE,26
ALMADIES,NIAYES,44
ALMADIES,RUFISQUE,13
ALMADIES,BAMBILOR,13
ALMADIES,SINDIA,21
ALMADIES,KOUMBAL,12
ALMADIES,RAO,10
GRAND DAKAR,PARCELLES ASSAINIES,181
GRAND DAKAR,ALMADIES,140
GRAND DAKAR,DAKAR PLATEAU,319
GRAND DAKAR,GUEDIAWAYE,63
GRAND DAKAR,PIKINE DAGOUDANE,81
GRAND DAKAR,THIAROYE,59
GRAND DAKAR,NIAYES,63
GRAND DAKAR,RUFISQUE,34
GRAND DAKAR,BAMBILOR,25
GRAND DAKAR,SINDIA,31
GRAND DAKAR,THIES SUD,20
GRAND DAKAR,NDAME,16
GRAND DAKAR,NGOYE,10
GRAND DAKAR,MBEDIENE,13
GRAND DAKAR,KOUMBAL,16
GRAND DAKAR,RAO,20
GRAND DAKAR,NIAGUIS,15
DAKAR PLATEAU,PARCELLES ASSAINIES,206
DAKAR PLATEAU,ALMADIES,168
DAKAR PLATEAU,GRAND DAKAR,241
DAKAR PLATEAU,GUEDIAWAYE,119
DAKAR PLATEAU,PIKINE DAGOUDANE,77
DAKAR PLATEAU,THIAROYE,102
DAKAR PLATEAU,NIAYES,89
DAKAR PLATEAU,RUFISQUE,21
DAKAR PLATEAU,BAMBILOR,32
DAKAR PLATEAU,SINDIA,22
DAKAR PLATEAU,THIENABA,10
DAKAR PLATEAU,PAMBAL,12
DAKAR PLATEAU,THIES SUD,22
DAKAR PLATEAU,NDAME,21
DAKAR PLATEAU,NGOYE,10
DAKAR PLATEAU,KOUMBAL,20
DAKAR PLATEAU,RAO,17
DAKAR PLATEAU,SARE BIDJI,10
DAKAR PLATEAU,KOUSSANAR,13
DAKAR PLATEAU,OGO,11
GUEDIAWAYE,PARCELLES ASSAINIES,92
GUEDIAWAYE,ALMADIES,34
GUEDIAWAYE,GRAND DAKAR,59
GUEDIAWAYE,DAKAR PLATEAU,117
GUEDIAWAYE,PIKINE DAGOUDANE,70
GUEDIAWAYE,THIAROYE,29
GUEDIAWAYE,NIAYES,57
GUEDIAWAYE,BAMBILOR,10
GUEDIAWAYE,SINDIA,11
GUEDIAWAYE,NDAME,18
GUEDIAWAYE,NIAGUIS,13
PIKINE DAGOUDANE,PARCELLES ASSAINIES,27
PIKINE DAGOUDANE,ALMADIES,27
PIKINE DAGOUDANE,GRAND DAKAR,81
PIKINE DAGOUDANE,DAKAR PLATEAU,104
PIKINE DAGOUDANE,GUEDIAWAYE,96
PIKINE DAGOUDANE,THIAROYE,82
PIKINE DAGOUDANE,NIAYES,57
PIKINE DAGOUDANE,BAMBILOR,12
PIKINE DAGOUDANE,SINDIA,13
PIKINE DAGOUDANE,NDAME,11
THIAROYE,PARCELLES ASSAINIES,40
THIAROYE,ALMADIES,35
THIAROYE,GRAND DAKAR,51
THIAROYE,DAKAR PLATEAU,89
THIAROYE,GUEDIAWAYE,26
THIAROYE,PIKINE DAGOUDANE,89
THIAROYE,NIAYES,48
THIAROYE,RUFISQUE,37
THIAROYE,BAMBILOR,27
THIAROYE,SINDIA,18
THIAROYE,THIES SUD,19
THIAROYE,NDAME,18
THIAROYE,NIAGUIS,17
NIAYES,PARCELLES ASSAINIES,40
NIAYES,ALMADIES,28
