from,to,count
PARCELLES ASSAINIES,ALMADIES,151
PARCELLES ASSAINIES,GRAND DAKAR,229
PARCELLES ASSAINIES,DAKAR PLATEAU,221
PARCELLES ASSAINIES,GUEDIAWAYE,92
PARCELLES ASSAINIES,PIKINE DAGOUDANE,36
PARCELLES ASSAINIES,THIAROYE,52
PARCELLES ASSAINIES,NIAYES,53
PARCELLES ASSAINIES,RUFISQUE,14
PARCELLES ASSAINIES,BAMBILOR,29
PARCELLES ASSAINIES,SINDIA,25
PARCELLES ASSAINIES,THIES SUD,22
PARCELLES ASSAINIES,SESSENE,12
PARCELLES ASSAINIES,NDAME,27
PARCELLES ASSAINIES,KOUMBAL,21
PARCELLES ASSAINIES,MEDINA SABAKH,11
PARCELLES ASSAINIES,RAO,20
PARCELLES ASSAINIES,NIAGUIS,22
PARCELLES ASSAINIES,MOUDERY,14
ALMADIES,PARCELLES ASSAINIES,135
ALMADIES,GRAND DAKAR,152
ALMADIES,DAKAR PLATEAU,196
ALMADIES,GUEDIAWAYE,32
ALMADIES,PIKINE DAGOUDANE,36
ALMADIES,THIAROYE,40
ALMADIES,NIAYES,38
ALMADIES,RUFISQUE,17
ALMADIES,BAMBILOR,26
ALMADIES,SINDIA,13
ALMADIES,PAMBAL,10
ALMADIES,THIES SUD,15
ALMADIES,KOUMBAL,18
ALMADIES,RAO,12
ALMADIES,NIAGUIS,10
GRAND DAKAR,PARCELLES ASSAINIES,207
GRAND DAKAR,ALMADIES,169
GRAND DAKAR,DAKAR PLATEAU,298
GRAND DAKAR,GUEDIAWAYE,74
GRAND DAKAR,PIKINE DAGOUDANE,75
GRAND DAKAR,THIAROYE,57
GRAND DAKAR,NIAYES,65
GRAND DAKAR,RUFISQUE,22
GRAND DAKAR,BAMBILOR,27
GRAND DAKAR,SINDIA,32
GRAND DAKAR,PAMBAL,11
GRAND DAKAR,THIES SUD,21
GRAND DAKAR,NDAME,12
GRAND DAKAR,KOUMBAL,17
GRAND DAKAR,RAO,27
GRAND DAKAR,NIAGUIS,14
GRAND DAKAR,KOUSSANAR,10
GRAND DAKAR,OGO,13
GRAND DAKAR,ORKADIERE,14
DAKAR PLATEAU,PARCELLES ASSAINIES,230
DAKAR PLATEAU,ALMADIES,177
DAKAR PLATEAU,GRAND DAKAR,298
DAKAR PLATEAU,GUEDIAWAYE,92
DAKAR PLATEAU,PIKINE DAGOUDANE,94
DAKAR PLATEAU,THIAROYE,90
DAKAR PLATEAU,NIAYES,110
DAKAR PLATEAU,RUFISQUE,46
DAKAR PLATEAU,BAMBILOR,27
DAKAR PLATEAU,SINDIA,26
DAKAR PLATEAU,THIENABA,10
DAKAR PLATEAU,PAMBAL,14
DAKAR PLATEAU,THIES SUD,27
DAKAR PLATEAU,NDAME,17
DAKAR PLATEAU,KOUMBAL,19
DAKAR PLATEAU,RAO,18
DAKAR PLATEAU,NIAGUIS,16
DAKAR PLATEAU,KOUSSANAR,10
DAKAR PLATEAU,MOUDERY,12
GUEDIAWAYE,PARCELLES ASSAINIES,108
GUEDIAWAYE,ALMADIES,39
GUEDIAWAYE,GRAND DAKAR,76
GUEDIAWAYE,DAKAR PLATEAU,114
GUEDIAWAYE,PIKINE DAGOUDANE,94
GUEDIAWAYE,THIAROYE,21
GUEDIAWAYE,NIAYES,79
GUEDIAWAYE,BAMBILOR,13
GUEDIAWAYE,SINDIA,16
GUEDIAWAYE,NDAME,13
GUEDIAWAYE,KOUMBAL,10
GUEDIAWAYE,NIAGUIS,15
GUEDIAWAYE,ORKADIERE,11
PIKINE DAGOUDANE,PARCELLES ASSAINIES,44
PIKINE DAGOUDANE,ALMADIES,34
PIKINE DAGOUDANE,GRAND DAKAR,128
PIKINE DAGOUDANE,DAKAR PLATEAU,113
PIKINE DAGOUDANE,GUEDIAWAYE,91
PIKINE DAGOUDANE,THIAROYE,110
PIKINE DAGOUDANE,NIAYES,58
PIKINE DAGOUDANE,BAMBILOR,16
PIKINE DAGOUDANE,SINDIA,13
PIKINE DAGOUDANE,NDAME,15
PIKINE DAGOUDANE,KOUMBAL,11
THIAROYE,PARCELLES ASSAINIES,43
THIAROYE,ALMADIES,34
THIAROYE,GRAND DAKAR,65
THIAROYE,DAKAR PLATEAU,112
THIAROYE,GUEDIAWAYE,25
THIAROYE,PIKINE DAGOUDANE,104
THIAROYE,NIAYES,80
THIAROYE,RUFISQUE,36
THIAROYE,BAMBILOR,28
THIAROYE,SINDIA,19
THIAROYE,NDAME,14
THIAROYE,RAO,12
NIAYES,PARCELLES ASSAINIES,49
NIAYES,ALMADIES,41
NIAYES,GRAND DAKAR,60
NIAYES,DAKAR PLATEAU,101
NIAYES,GUEDIAWAYE,47
NIAYES,PIKINE DAGOUDANE,50
NIAYES,THIAROYE,70
NIAYES,BAMBILOR,24
NIAYES,SINDIA,18
NIAYES,NDAME,12
RUFISQUE,PARCELLES ASSAINIES,15
RUFISQUE,ALMADIES,21
RUFISQUE,GRAND DAKAR,27
RUFISQUE,DAKAR PLATEAU,24
RUFISQUE,THIAROYE,38
RUFISQUE,NIAYES,11
RUFISQUE,BAMBILOR,18
RUFISQUE,SINDIA,11
BAMBILOR,PARCELLES ASSAINIES,18
BAMBILOR,ALMADIES,21
BAMBILOR,GRAND DAKAR,29
BAMBILOR,DAKAR PLATEAU,46
BAMBILOR,GUEDIAWAYE,11
BAMBILOR,PIKINE DAGOUDANE,17
BAMBILOR,THIAROYE,26
BAMBILOR,NIAYES,78
BAMBILOR,RUFISQUE,27
BAMBILOR,KEUR MOUSSA,11
BAMBILOR,SINDIA,15
BAMBILOR,SESSENE,13
KEUR MOUSSA,DAKAR PLATEAU,13
KEUR MOUSSA,BAMBILOR,16
KEUR MOUSSA,PAMBAL,14
SINDIA,PARCELLES ASSAINIES,28
SINDIA,ALMADIES,17
SINDIA,GRAND DAKAR,24
SINDIA,DAKAR PLATEAU,35
SINDIA,GUEDIAWAYE,15
SINDIA,PIKINE DAGOUDANE,17
SINDIA,THIAROYE,15
SINDIA,NIAYES,12
SINDIA,RUFISQUE,11
SINDIA,BAMBILOR,22
SINDIA,THIES SUD,13
SINDIA,THIES NORD,10
SINDIA,SESSENE,26
SINDIA,NDAME,11
SINDIA,TATTAGUINE,11
SINDIA,FIMELA,10
THIENABA,DAKAR PLATEAU,14
THIENABA,THIES SUD,15
PAMBAL,PARCELLES ASSAINIES,16
PAMBAL,GRAND DAKAR,11
PAMBAL,MEOUANE,25
PAMBAL,THIES SUD,12
PAMBAL,NDAME,19
THIES SUD,PARCELLES ASSAINIES,13
THIES SUD,ALMADIES,13
THIES SUD,GRAND DAKAR,24
THIES SUD,DAKAR PLATEAU,24
THIES SUD,GUEDIAWAYE,14
THIES SUD,PIKINE DAGOUDANE,12
THIES SUD,THIAROYE,11
THIES SUD,NIAYES,10
THIES SUD,SINDIA,20
THIES SUD,NOTTO,11
THIES SUD,THIENABA,32
THIES SUD,PAMBAL,12
THIES SUD,THIES NORD,69
THIES SUD,NDAME,15
THIES SUD,RAO,10
THIES NORD,PAMBAL,10
THIES NORD,THIES SUD,79
SESSENE,SINDIA,29
NDAME,PARCELLES ASSAINIES,46
NDAME,ALMADIES,22
NDAME,GRAND DAKAR,50
NDAME,DAKAR PLATEAU,56
NDAME,GUEDIAWAYE,34
NDAME,PIKINE DAGOUDANE,44
NDAME,THIAROYE,25
NDAME,NIAYES,21
NDAME,SINDIA,18
NDAME,PAMBAL,18
NDAME,THIES SUD,10
NDAME,TAIF,20
NDAME,NDOULO,20
NDAME,SAGATTA GUETH I,10
NDAME,DAROU MOUSTY,19
NDAME,SAGATTA DJOLOF,20
NDAME,BARKEDJI,10
NDAME,KOUMBAL,18
NDAME,DAROU MINAME II,22
NDAME,KOUSSANAR,10
NDAME,MOUDERY,10
NDAME,OGO,11
NDOULO,PARCELLES ASSAINIES,12
NDOULO,GRAND DAKAR,14
NDOULO,DAKAR PLATEAU,10
NDOULO,THIES SUD,10
NDOULO,NDAME,11
NGOYE,GRAND DAKAR,13
NIAKHAR,GRAND DAKAR,18
NIAKHAR,TATTAGUINE,10
TATTAGUINE,PARCELLES ASSAINIES,11
TATTAGUINE,GRAND DAKAR,13
TATTAGUINE,SINDIA,10
NIODIOR,SINDIA,11
TOUBACOUTA,KOUMBAL,10
DJILOR,KOUMBAL,10
MEUR MOMAR SARR,YANG YANG,14
MBEDIENE,PARCELLES ASSAINIES,13
SAGATTA DJOLOF,YANG YANG,12
SAGATTA DJOLOF,BARKEDJI,12
YANG YANG,SAGATTA DJOLOF,10
DODJI,BARKEDJI,11
NGOTHIE,KOUMBAL,14
KOUMBAL,PARCELLES ASSAINIES,34
KOUMBAL,ALMADIES,13
KOUMBAL,GRAND DAKAR,27
KOUMBAL,DAKAR PLATEAU,27
KOUMBAL,GUEDIAWAYE,12
KOUMBAL,THIAROYE,19
KOUMBAL,SINDIA,11
KOUMBAL,PAOS KOTO,18
KOUMBAL,GNIBY,12
PAOS KOTO,PARCELLES ASSAINIES,10
PAOS KOTO,KOUMBAL,11
WACK NGOUNA,KOUMBAL,16
GNIBY,KOUMBAL,11
GNIBY,DAROU MINAME II,15
GNIBY,SAGNA,13
MBANE,YANG YANG,26
MBANE,NDIAYE MBERESS,41
MBANE,RAO,13
NDIAYE MBERESS,MBANE,15
NDIAYE MBERESS,RAO,17
GAMADJI SARRE,DAKAR PLATEAU,11
GAMADJI SARRE,DODJI,14
GAMADJI SARRE,NDIAYE MBERESS,11
GAMADJI SARRE,RAO,11
CAS CAS,GAMADJI SARRE,12
RAO,PARCELLES ASSAINIES,14
RAO,ALMADIES,15
RAO,GRAND DAKAR,19
RAO,DAKAR PLATEAU,21
RAO,THIAROYE,14
RAO,NIAYES,12
RAO,SINDIA,16
RAO,SESSENE,10
RAO,SAKAL,13
RAO,NDIAYE MBERESS,42
THILE BOUBACAR,GAMADJI SARRE,11
MAMPATIM,SARE BIDJI,10
NIAMING,SARE BIDJI,14
SARE COLY SALE,BANDAFASSI,14
SARE BIDJI,DAKAR PLATEAU,11
SARE BIDJI,NIAYES,10
DJIBANAR,PARCELLES ASSAINIES,10
DJIBANAR,NIAGUIS,14
DIAROUME,BONA,13
BONA,PARCELLES ASSAINIES,10
LOUDIA OUOLOF,NIAGUIS,10
SINDIAN,TENGHORY,19
TENGHORY,PARCELLES ASSAINIES,26
