from,to,count
PARCELLES ASSAINIES,ALMADIES,133
PARCELLES ASSAINIES,GRAND DAKAR,191
PARCELLES ASSAINIES,DAKAR PLATEAU,215
PARCELLES ASSAINIES,GUEDIAWAYE,94
PARCELLES ASSAINIES,PIKINE DAGOUDANE,47
PARCELLES ASSAINIES,THIAROYE,32
PARCELLES ASSAINIES,NIAYES,42
PARCELLES ASSAINIES,RUFISQUE,15
PARCELLES ASSAINIES,BAMBILOR,22
PARCELLES ASSAINIES,SINDIA,23
PARCELLES ASSAINIES,PAMBAL,14
PARCELLES ASSAINIES,THIES SUD,15
PARCELLES ASSAINIES,NDAME,49
PARCELLES ASSAINIES,KOUMBAL,21
PARCELLES ASSAINIES,RAO,11
PARCELLES ASSAINIES,NIAGUIS,24
ALMADIES,PARCELLES ASSAINIES,191
ALMADIES,GRAND DAKAR,170
ALMADIES,DAKAR PLATEAU,163
ALMADIES,GUEDIAWAYE,49
ALMADIES,PIKINE DAGOUDANE,23
ALMADIES,THIAROYE,39
ALMADIES,NIAYES,43
ALMADIES,RUFISQUE,10
ALMADIES,BAMBILOR,32
ALMADIES,SINDIA,31
ALMADIES,THIES SUD,13
ALMADIES,NDAME,22
ALMADIES,RAO,12
ALMADIES,BONCONTO,29
GRAND DAKAR,PARCELLES ASSAINIES,206
GRAND DAKAR,ALMADIES,148
GRAND DAKAR,DAKAR PLATEAU,228
GRAND DAKAR,GUEDIAWAYE,59
GRAND DAKAR,PIKINE DAGOUDANE,82
GRAND DAKAR,THIAROYE,62
GRAND DAKAR,NIAYES,67
GRAND DAKAR,RUFISQUE,19
GRAND DAKAR,BAMBILOR,17
GRAND DAKAR,SINDIA,17
GRAND DAKAR,PAMBAL,12
GRAND DAKAR,THIES SUD,14
GRAND DAKAR,NDAME,47
GRAND DAKAR,KOUMBAL,10
GRAND DAKAR,RAO,18
DAKAR PLATEAU,PARCELLES ASSAINIES,215
DAKAR PLATEAU,ALMADIES,186
DAKAR PLATEAU,GRAND DAKAR,374
DAKAR PLATEAU,GUEDIAWAYE,137
DAKAR PLATEAU,PIKINE DAGOUDANE,94
DAKAR PLATEAU,THIAROYE,93
DAKAR PLATEAU,NIAYES,109
DAKAR PLATEAU,RUFISQUE,38
DAKAR PLATEAU,BAMBILOR,44
DAKAR PLATEAU,KEUR MOUSSA,10
DAKAR PLATEAU,SINDIA,24
DAKAR PLATEAU,PAMBAL,10
DAKAR PLATEAU,THIES SUD,18
DAKAR PLATEAU,NDAME,54
DAKAR PLATEAU,KOUMBAL,18
DAKAR PLATEAU,RAO,15
DAKAR PLATEAU,NIAGUIS,10
GUEDIAWAYE,PARCELLES ASSAINIES,134
GUEDIAWAYE,ALMADIES,36
GUEDIAWAYE,GRAND DAKAR,72
GUEDIAWAYE,DAKAR PLATEAU,100
GUEDIAWAYE,PIKINE DAGOUDANE,76
GUEDIAWAYE,THIAROYE,19
GUEDIAWAYE,NIAYES,37
GUEDIAWAYE,BAMBILOR,11
GUEDIAWAYE,NDAME,41
GUEDIAWAYE,NIAGUIS,11
PIKINE DAGOUDANE,PARCELLES ASSAINIES,33
PIKINE DAGOUDANE,ALMADIES,41
PIKINE DAGOUDANE,GRAND DAKAR,67
PIKINE DAGOUDANE,DAKAR PLATEAU,72
PIKINE DAGOUDANE,GUEDIAWAYE,93
PIKINE DAGOUDANE,THIAROYE,98
PIKINE DAGOUDANE,NIAYES,50
PIKINE DAGOUDANE,BAMBILOR,15
PIKINE DAGOUDANE,SINDIA,13
PIKINE DAGOUDANE,THIES SUD,11
PIKINE DAGOUDANE,NDAME,48
PIKINE DAGOUDANE,KOUMBAL,10
PIKINE DAGOUDANE,ORKADIERE,10
THIAROYE,PARCELLES ASSAINIES,32
THIAROYE,ALMADIES,29
THIAROYE,GRAND DAKAR,65
THIAROYE,DAKAR PLATEAU,89
THIAROYE,GUEDIAWAYE,27
THIAROYE,PIKINE DAGOUDANE,74
THIAROYE,NIAYES,66
THIAROYE,RUFISQUE,33
THIAROYE,BAMBILOR,23
THIAROYE,SINDIA,13
THIAROYE,NDAME,24
THIAROYE,KOUMBAL,11
THIAROYE,NIAGUIS,12
THIAROYE,OGO,10
NIAYES,PARCELLES ASSAINIES,45
NIAYES,ALMADIES,28
NIAYES,GRAND DAKAR,48
NIAYES,DAKAR PLATEAU,90
NIAYES,GUEDIAWAYE,51
NIAYES,PIKINE DAGOUDANE,43
NIAYES,THIAROYE,68
NIAYES,BAMBILOR,53
NIAYES,NDAME,28
NIAYES,NIAGUIS,12
RUFISQUE,PARCELLES ASSAINIES,16
RUFISQUE,ALMADIES,13
RUFISQUE,GRAND DAKAR,18
RUFISQUE,DAKAR PLATEAU,39
RUFISQUE,THIAROYE,35
RUFISQUE,NIAYES,14
RUFISQUE,BAMBILOR,19
RUFISQUE,NDAME,12
BAMBILOR,PARCELLES ASSAINIES,14
BAMBILOR,ALMADIES,21
BAMBILOR,GRAND DAKAR,16
BAMBILOR,DAKAR PLATEAU,30
BAMBILOR,PIKINE DAGOUDANE,11
BAMBILOR,THIAROYE,15
BAMBILOR,NIAYES,22
BAMBILOR,RUFISQUE,25
BAMBILOR,SINDIA,14
KEUR MOUSSA,BAMBILOR,13
KEUR MOUSSA,SINDIA,11
KEUR MOUSSA,RAO,16
SINDIA,PARCELLES ASSAINIES,30
SINDIA,ALMADIES,13
SINDIA,GRAND DAKAR,21
SINDIA,DAKAR PLATEAU,25
SINDIA,GUEDIAWAYE,11
SINDIA,PIKINE DAGOUDANE,14
SINDIA,THIAROYE,18
SINDIA,NIAYES,14
SINDIA,RUFISQUE,14
SINDIA,BAMBILOR,13
SINDIA,THIES SUD,13
SINDIA,SESSENE,14
SINDIA,NDAME,25
THIENABA,DAKAR PLATEAU,13
THIENABA,THIES SUD,15
PAMBAL,PIKINE DAGOUDANE,11
PAMBAL,THIES SUD,11
PAMBAL,NDAME,28
MEOUANE,PAMBAL,13
THIES SUD,PARCELLES ASSAINIES,17
THIES SUD,ALMADIES,11
THIES SUD,GRAND DAKAR,15
THIES SUD,DAKAR PLATEAU,22
THIES SUD,GUEDIAWAYE,10
THIES SUD,THIAROYE,12
THIES SUD,SINDIA,16
THIES SUD,THIENABA,16
THIES SUD,PAMBAL,15
